BX = 000 Event : 1
0x00 0001110|0100010 0x0722
0x01 0001110|0100011 0x0723
0x02 0010000|0010010 0x0812
0x03 0101010|0100010 0x1522
0x04 0101010|0100011 0x1523
0x05 0101011|0100010 0x15A2
0x06 0101011|0100011 0x15A3
0x07 0101100|1010101 0x1655
0x08 0101100|0010001 0x1611
0x09 0101101|1010101 0x16D5
0x0a 0101101|0010001 0x1691
0x0b 0101110|1010101 0x1755
0x0c 0110000|1010101 0x1855
BX = 101 Event : 62
0x00 0001010|0001100 0x050C
0x01 0100110|0001100 0x130C
BX = 110 Event : 63
BX = 111 Event : 64
0x00 0010010|0000001 0x0901
0x01 0101100|0000001 0x1601
0x02 0101101|0000001 0x1681
0x03 0101111|0000001 0x1781
0x04 0110000|0000001 0x1801
0x05 0110001|0000001 0x1881
0x06 0110010|0000001 0x1901
0x07 0111001|0000001 0x1C81
BX = 000 Event : 65
BX = 001 Event : 66
0x00 0001110|0011010 0x071A
BX = 010 Event : 67
BX = 011 Event : 68
BX = 100 Event : 69
0x00 0001000|0001000 0x0408
0x01 0001011|0001000 0x0588
0x02 0001100|0001000 0x0608
0x03 0001101|0001000 0x0688
0x04 0010100|0010101 0x0A15
0x05 0101001|0001000 0x1488
0x06 0101011|0001001 0x1589
BX = 101 Event : 70
BX = 110 Event : 71
0x00 0001001|0110101 0x04B5
0x01 0001010|0110101 0x0535
0x02 0011010|0000001 0x0D01
BX = 111 Event : 72
0x00 0000001|1000000 0x00C0
0x01 0000010|1000000 0x0140
0x02 0011011|0110101 0x0DB5
0x03 0101100|0000011 0x1603
0x04 0101100|0000100 0x1604
0x05 0101100|0000101 0x1605
0x06 0110111|0110101 0x1BB5
BX = 000 Event : 73
0x00 0100011|0100100 0x11A4
0x01 0100011|0100101 0x11A5
BX = 001 Event : 74
BX = 010 Event : 75
0x00 0000101|0110001 0x02B1
0x01 0000111|0110001 0x03B1
0x02 0010001|0110001 0x08B1
0x03 0100111|0110001 0x13B1
0x04 0101100|0110011 0x1633
BX = 011 Event : 76
0x00 0000100|0101101 0x022D
BX = 100 Event : 77
0x00 0010011|0101111 0x09AF
0x01 0010011|0010011 0x0993
0x02 0011111|0101111 0x0FAF
0x03 0011111|0010011 0x0F93
0x04 0100000|0101111 0x102F
0x05 0100000|0010011 0x1013
0x06 0100100|0011010 0x121A
BX = 101 Event : 78
BX = 110 Event : 79
0x00 0001111|0000100 0x0784
0x01 0001111|0000111 0x0787
0x02 0010000|0000100 0x0804
0x03 0010000|0000111 0x0807
BX = 111 Event : 80
BX = 000 Event : 81
BX = 001 Event : 82
BX = 010 Event : 83
0x00 0001001|0011010 0x049A
0x01 0010011|0011010 0x099A
0x02 0010100|0011010 0x0A1A
BX = 011 Event : 84
0x00 0101101|0100101 0x16A5
0x01 0101101|0110110 0x16B6
BX = 100 Event : 85
0x00 0001001|0001100 0x048C
0x01 0101110|0001100 0x170C
BX = 101 Event : 86
0x00 0001010|0111001 0x0539
BX = 110 Event : 87
0x00 0001000|0111100 0x043C
BX = 111 Event : 88
BX = 000 Event : 89
BX = 001 Event : 90
BX = 010 Event : 91
BX = 011 Event : 92
BX = 100 Event : 93
0x00 0001101|0000010 0x0682
0x01 0001110|0000010 0x0702
0x02 0011111|0000010 0x0F82
0x03 0100000|0000010 0x1002
0x04 0100100|0000100 0x1204
BX = 101 Event : 94
BX = 110 Event : 95
BX = 111 Event : 96
BX = 000 Event : 97
BX = 001 Event : 98
0x00 0000100|0011011 0x021B
0x01 0000110|0011011 0x031B
0x02 0111001|0011011 0x1C9B
BX = 010 Event : 99
0x00 0001111|0010100 0x0794
0x01 0010010|0010100 0x0914
0x02 0010111|0010100 0x0B94
0x03 0100100|0010011 0x1213
0x04 0100100|0010100 0x1214
BX = 011 Event : 100
0x00 0001111|0010010 0x0792
0x01 0010000|0010010 0x0812
0x02 0010110|0010000 0x0B10
0x03 0010110|0010001 0x0B11
0x04 0101100|0010000 0x1610
0x05 0101100|0010001 0x1611
0x06 0101100|0010010 0x1612
0x07 0101101|0010000 0x1690
0x08 0101101|0010001 0x1691
0x09 0101101|0010010 0x1692
0x0a 0110000|0010000 0x1810
0x0b 0110000|0010001 0x1811
0x0c 0110000|0010010 0x1812
