BX = 000 Event : 1
BX = 001 Event : 2
0x0c 0010000|0000001 0x0801
0x0d 0010001|0000001 0x0881
BX = 001 Event : 34
0x00 0001111|0000110 0x0786
0x01 0001111|0000111 0x0787
BX = 010 Event : 35
0x00 0000111|0100101 0x03A5
0x01 0000111|0101011 0x03AB
0x02 0001101|0100101 0x06A5
0x03 0001101|0101011 0x06AB
0x04 0001110|0100101 0x0725
0x05 0001110|0101011 0x072B
0x06 0001111|0100101 0x07A5
0x07 0001111|0101011 0x07AB
0x08 0010000|0100101 0x0825
0x09 0010000|0101011 0x082B
0x0a 0010110|0100101 0x0B25
0x0b 0010110|0101011 0x0B2B
0x0c 0010111|0101011 0x0BAB
0x0d 0011001|0100101 0x0CA5
0x0e 0011001|0101011 0x0CAB
0x0f 0011010|0101011 0x0D2B
0x10 0011011|0100101 0x0DA5
0x11 0011011|0101011 0x0DAB
0x12 0100000|0101011 0x102B
BX = 011 Event : 36
0x00 0001110|0001000 0x0708
0x01 0001111|0001000 0x0788
0x02 0010000|0001000 0x0808
0x03 0010010|0100110 0x0926
BX = 100 Event : 37
0x00 0001111|1000000 0x07C0
0x01 0010100|0011111 0x0A1F
0x02 0010100|0100000 0x0A20
0x03 0010101|0011111 0x0A9F
0x04 0010101|0100000 0x0AA0
0x05 0010110|1000000 0x0B40
0x06 0010111|0111110 0x0BBE
0x07 0100010|0110011 0x1133
0x08 0100010|0110100 0x1134
0x09 0100010|0110101 0x1135
0x0a 0100100|0101110 0x122E
BX = 101 Event : 38
0x00 0001101|0011000 0x0698
0x01 0010000|0110001 0x0831
0x02 0011001|0011000 0x0C98
0x03 0011010|0110001 0x0D31
BX = 110 Event : 39
0x00 0000110|0011000 0x0318
0x01 0001001|0011000 0x0498
BX = 111 Event : 40
BX = 000 Event : 41
0x00 0010000|0011001 0x0819
BX = 001 Event : 42
0x00 0000111|0101111 0x03AF
BX = 010 Event : 43
0x00 0000100|0100100 0x0224
0x01 0000100|0101011 0x022B
0x02 0000110|0001100 0x030C
0x03 0010001|0100100 0x08A4
BX = 011 Event : 44
BX = 100 Event : 45
0x00 0000110|0110110 0x0336
0x01 0000111|0100110 0x03A6
0x02 0001010|0100010 0x0522
0x03 0001011|0100010 0x05A2
BX = 101 Event : 46
0x00 0000111|0011110 0x039E
0x01 0001000|0011110 0x041E
0x02 0010110|0101011 0x0B2B
0x03 0010111|0101011 0x0BAB
0x04 0011100|0001001 0x0E09
BX = 110 Event : 47
0x00 0000100|0100010 0x0222
0x01 0000100|0100011 0x0223
0x02 0000101|0100010 0x02A2
0x03 0000101|0100011 0x02A3
0x04 0000111|0000010 0x0382
0x05 0000111|0000011 0x0383
0x06 0001100|0100010 0x0622
0x07 0001100|0100011 0x0623
0x08 0001101|0100010 0x06A2
0x09 0001101|0100011 0x06A3
0x0a 0001110|0100010 0x0722
0x0b 0001110|0100011 0x0723
0x0c 0010000|0000010 0x0802
0x0d 0010000|0000011 0x0803
0x0e 0010001|0000010 0x0882
0x0f 0010001|0000011 0x0883
0x10 0010011|0100010 0x09A2
0x11 0010011|0100011 0x09A3
0x12 0010100|0100010 0x0A22
0x13 0010100|0100011 0x0A23
BX = 111 Event : 48
0x00 0001001|0010011 0x0493
0x01 0001010|0010011 0x0513
0x02 0001100|0011000 0x0618
0x03 0001100|0011011 0x061B
0x04 0001100|0011100 0x061C
0x05 0001101|0100010 0x06A2
0x06 0001110|0100010 0x0722
0x07 0010010|0010011 0x0913
0x08 0011100|0011000 0x0E18
BX = 000 Event : 49
0x00 0000001|0100010 0x00A2
0x01 0000010|0011100 0x011C
0x02 0000010|0100000 0x0120
0x03 0000011|0011100 0x019C
0x04 0000011|0100000 0x01A0
0x05 0000100|0011100 0x021C
0x06 0000100|0100000 0x0220
0x07 0000101|0100001 0x02A1
0x08 0000110|0100010 0x0322
0x09 0000111|0100010 0x03A2
0x0a 0001000|0100010 0x0422
0x0b 0001001|0011100 0x049C
0x0c 0001001|0100000 0x04A0
0x0d 0001100|0100010 0x0622
0x0e 0001110|0011110 0x071E
0x0f 0001110|0100000 0x0720
0x10 0001111|0011110 0x079E
0x11 0010000|0011110 0x081E
0x12 0010001|0011100 0x089C
0x13 0010001|0100000 0x08A0
0x14 0010010|0011100 0x091C
0x15 0010010|0100000 0x0920
BX = 001 Event : 50
BX = 010 Event : 51
0x00 0001000|0001000 0x0408
0x01 0001000|0001001 0x0409
0x02 0001000|0001100 0x040C
0x03 0001001|0000000 0x0480
0x04 0001001|0000100 0x0484
0x05 0001001|0000101 0x0485
0x06 0010111|0001001 0x0B89
0x07 0010111|0001100 0x0B8C
BX = 011 Event : 52
0x00 0001001|0100001 0x04A1
0x01 0001010|0101010 0x052A
0x02 0010011|0100001 0x09A1
0x03 0010100|0100001 0x0A21
0x04 0010101|0100001 0x0AA1
0x05 0100010|0100001 0x1121
BX = 100 Event : 53
BX = 101 Event : 54
BX = 110 Event : 55
BX = 111 Event : 56
BX = 000 Event : 57
0x00 0000101|0000110 0x0286
0x01 0001001|1000011 0x04C3
0x02 0001001|1001000 0x04C8
0x03 0001101|0000111 0x0687
0x04 0010000|0000110 0x0806
0x05 0010001|0000110 0x0886
BX = 001 Event : 58
0x00 0010011|0000111 0x0987
0x01 0010100|1011011 0x0A5B
BX = 010 Event : 59
0x00 0000101|0001010 0x028A
0x01 0000110|0001010 0x030A
BX = 011 Event : 60
BX = 100 Event : 61
0x00 0000011|0110110 0x01B6
0x01 0000110|0110110 0x0336
0x02 0000111|0110110 0x03B6
BX = 101 Event : 62
BX = 110 Event : 63
0x00 0000111|0000110 0x0386
0x01 0000111|0001000 0x0388
0x02 0001000|0000110 0x0406
BX = 111 Event : 64
0x00 0000101|0011101 0x029D
0x01 0000110|0011101 0x031D
0x02 0000111|0000100 0x0384
0x03 0000111|0000101 0x0385
0x04 0001000|0000100 0x0404
0x05 0001000|0000101 0x0405
0x06 0001001|1001011 0x04CB
0x07 0001010|0001110 0x050E
0x08 0010000|1001011 0x084B
0x09 0010001|1001011 0x08CB
0x0a 0010100|1001011 0x0A4B
0x0b 0010101|1001011 0x0ACB
0x0c 0010110|1001011 0x0B4B
BX = 000 Event : 65
0x00 0000010|0001001 0x0109
0x01 0000011|0001001 0x0189
0x02 0000100|0001001 0x0209
0x03 0001000|0001001 0x0409
0x04 0001001|0001001 0x0489
0x05 0001010|0001001 0x0509
0x06 0001011|0001001 0x0589
0x07 0001100|0110111 0x0637
0x08 0001100|0110110 0x0636
0x09 0001101|0110111 0x06B7
0x0a 0001101|0110110 0x06B6
0x0b 0001110|0110111 0x0737
0x0c 0001110|0110110 0x0736
0x0d 0010011|0001001 0x0989
0x0e 0010100|0001001 0x0A09
0x0f 0010101|0001001 0x0A89
BX = 001 Event : 66
0x00 0000110|0101101 0x032D
0x01 0000111|0101101 0x03AD
BX = 010 Event : 67
0x00 0001000|0111100 0x043C
0x01 0001101|0101001 0x06A9
0x02 0001111|0010001 0x0791
0x03 0011110|0111100 0x0F3C
BX = 011 Event : 68
BX = 100 Event : 69
0x00 0000111|0010111 0x0397
BX = 101 Event : 70
0x00 0000010|0011101 0x011D
0x01 0000011|0011101 0x019D
0x02 0000101|0101011 0x02AB
0x03 0000101|0101111 0x02AF
0x04 0001010|0101111 0x052F
0x05 0001101|0011101 0x069D
BX = 110 Event : 71
0x00 0000011|0110101 0x01B5
0x01 0001000|0110101 0x0435
BX = 111 Event : 72
0x00 0001100|0100010 0x0622
BX = 000 Event : 73
0x00 0000000|0101101 0x002D
0x01 0000000|0110001 0x0031
0x02 0000001|0110001 0x00B1
0x03 0001111|0100111 0x07A7
0x04 0001111|0101001 0x07A9
BX = 001 Event : 74
0x00 0000101|0011110 0x029E
0x01 0000110|0011110 0x031E
BX = 010 Event : 75
0x00 0000100|0010101 0x0215
0x01 0000101|0010111 0x0297
0x02 0000110|0001101 0x030D
0x03 0000111|0010101 0x0395
0x04 0001000|0010101 0x0415
0x05 0001010|0010101 0x0515
BX = 011 Event : 76
0x00 0001110|0010100 0x0714
0x01 0010000|0000110 0x0806
0x02 0011001|0010100 0x0C94
0x03 0011001|0010101 0x0C95
0x04 0011001|0010111 0x0C97
0x05 0011010|1000110 0x0D46
0x06 0100110|0000110 0x1306
