BX = 000 Event : 1
BX = 001 Event : 2
BX = 111 Event : 80
0x00 0001111|0101010 0x07AA
0x01 0010000|0101010 0x082A
0x02 0011100|0101010 0x0E2A
BX = 000 Event : 81
BX = 001 Event : 82
0x00 0100000|0000101 0x1005
BX = 010 Event : 83
0x00 0000010|0011110 0x011E
0x01 0000010|0100000 0x0120
0x02 0000010|0100010 0x0122
0x03 0000010|0100011 0x0123
BX = 011 Event : 84
0x00 0000011|0000111 0x0187
0x01 0000110|0000111 0x0307
BX = 100 Event : 85
0x00 0011011|0000010 0x0D82
0x01 0011011|0000100 0x0D84
0x02 0011101|0001010 0x0E8A
0x03 0110001|0001010 0x188A
BX = 101 Event : 86
0x00 0000110|0111100 0x033C
0x01 0000110|0111101 0x033D
0x02 0010110|0000011 0x0B03
BX = 110 Event : 87
0x00 0000011|0011101 0x019D
0x01 0000100|0011101 0x021D
BX = 111 Event : 88
0x00 0001111|0000100 0x0784
BX = 000 Event : 89
0x00 0000000|0011010 0x001A
0x01 0000000|0111001 0x0039
0x02 0000000|0111010 0x003A
0x03 0000000|0111100 0x003C
0x04 0001100|0000001 0x0601
0x05 0001101|0000001 0x0681
0x06 0001110|0000001 0x0701
0x07 0011000|0011010 0x0C1A
0x08 0011000|0111001 0x0C39
0x09 0011000|0111010 0x0C3A
0x0a 0011000|0111100 0x0C3C
0x0b 0011000|0111111 0x0C3F
0x0c 0011001|0000001 0x0C81
0x0d 0011011|0000011 0x0D83
0x0e 0011100|0000011 0x0E03
BX = 001 Event : 90
BX = 010 Event : 91
BX = 011 Event : 92
BX = 100 Event : 93
0x00 0000000|0000001 0x0001
0x01 0000001|0000001 0x0081
0x02 0011010|0000001 0x0D01
0x03 0011011|0000001 0x0D81
0x04 0100001|0010101 0x1095
BX = 101 Event : 94
BX = 110 Event : 95
0x00 0000000|0110111 0x0037
0x01 0000000|0111000 0x0038
0x02 0001110|0000000 0x0700
0x03 0001110|0000001 0x0701
0x04 0001110|0000011 0x0703
0x05 0001111|0000000 0x0780
0x06 0001111|0000001 0x0781
0x07 0001111|0000011 0x0783
BX = 111 Event : 96
0x00 0001010|0011011 0x051B
0x01 0001101|0011011 0x069B
0x02 0001110|0011011 0x071B
0x03 0010100|0011011 0x0A1B
BX = 000 Event : 97
0x00 0000011|0010001 0x0191
BX = 001 Event : 98
0x00 0111010|0011001 0x1D19
BX = 010 Event : 99
0x00 0010011|0010101 0x0995
0x01 0010100|0010101 0x0A15
0x02 0011001|0110010 0x0CB2
0x03 0011010|0110010 0x0D32
0x04 0100010|0010101 0x1115
0x05 0100011|0010101 0x1195
0x06 0100101|0110010 0x12B2
BX = 011 Event : 100
0x00 0000001|0001100 0x008C
