BX = 000 Event : 1
BX = 001 Event : 2
BX = 010 Event : 3
BX = 011 Event : 4
0x0a 0110111|0000111 0x1B87
0x0b 1000010|0101000 0x2128
0x0c 1000010|0000100 0x2104
0x0d 1000011|0101000 0x21A8
0x0e 1000011|0000100 0x2184
0x0f 1000100|0101000 0x2228
0x10 1000100|0000100 0x2204
0x11 1001010|0000111 0x2507
BX = 100 Event : 85
BX = 101 Event : 86
0x00 0000000|0001110 0x000E
0x01 0000001|0001110 0x008E
0x02 0000010|0001110 0x010E
0x03 0000011|0001110 0x018E
0x04 0000100|0001110 0x020E
0x05 0000101|0001110 0x028E
0x06 0010001|0000001 0x0881
0x07 0010001|0000010 0x0882
0x08 1000101|0001110 0x228E
0x09 1000110|0001110 0x230E
0x0a 1001001|0000001 0x2481
0x0b 1001001|0000010 0x2482
0x0c 1001100|0000001 0x2601
0x0d 1001100|0000010 0x2602
0x0e 1011000|0000001 0x2C01
0x0f 1011000|0000010 0x2C02
BX = 110 Event : 87
BX = 111 Event : 88
BX = 000 Event : 89
BX = 001 Event : 90
BX = 010 Event : 91
BX = 011 Event : 92
0x00 0110111|0000001 0x1B81
0x01 0111000|0000001 0x1C01
BX = 100 Event : 93
0x00 0100100|0001011 0x120B
BX = 101 Event : 94
BX = 110 Event : 95
0x00 0001000|0100001 0x0421
0x01 0001001|0100001 0x04A1
0x02 0001110|0100001 0x0721
0x03 0001111|0100001 0x07A1
0x04 0011011|0100001 0x0DA1
0x05 0011100|0100001 0x0E21
BX = 111 Event : 96
BX = 000 Event : 97
0x00 0000000|0010111 0x0017
0x01 0000100|0000001 0x0201
0x02 0001000|0000001 0x0401
0x03 0010001|0010111 0x0897
0x04 0010110|0000001 0x0B01
0x05 0010111|0000001 0x0B81
BX = 001 Event : 98
BX = 010 Event : 99
BX = 011 Event : 100
