BX = 000 Event : 1
0x04 0000110|0111001 0x0339
BX = 100 Event : 53
BX = 101 Event : 54
BX = 110 Event : 55
0x00 0000010|0100110 0x0126
0x01 0011010|0100110 0x0D26
0x02 0011011|0100110 0x0DA6
BX = 111 Event : 56
0x00 0001000|0011011 0x041B
0x01 0001011|0011010 0x059A
0x02 0001011|0011011 0x059B
0x03 0001110|0000011 0x0703
0x04 0001111|0000101 0x0785
0x05 0001111|0000011 0x0783
0x06 0010000|0000101 0x0805
0x07 0010000|0000011 0x0803
0x08 0010011|0000101 0x0985
0x09 0010011|0000011 0x0983
0x0a 0010110|0000101 0x0B05
0x0b 0010110|0000011 0x0B03
0x0c 0011100|0101010 0x0E2A
0x0d 0011100|0101110 0x0E2E
BX = 000 Event : 57
0x00 0000100|0100110 0x0226
0x01 0000101|0100110 0x02A6
0x02 0001111|0100110 0x07A6
0x03 0010011|0000111 0x0987
0x04 0010100|0000111 0x0A07
0x05 0011001|0001100 0x0C8C
0x06 0011001|0010000 0x0C90
BX = 001 Event : 58
0x00 0000000|0100110 0x0026
0x01 0000001|0100110 0x00A6
0x02 0011001|0100110 0x0CA6
BX = 010 Event : 59
BX = 011 Event : 60
0x00 0010011|0100111 0x09A7
0x01 0010011|0101010 0x09AA
0x02 0011110|0000000 0x0F00
0x03 0011111|0100111 0x0FA7
0x04 0011111|0101010 0x0FAA
0x05 0100000|0100111 0x1027
0x06 0100000|0101010 0x102A
0x07 0100010|0000000 0x1100
0x08 0100010|0101001 0x1129
0x09 0100011|0000000 0x1180
0x0a 0100011|0101001 0x11A9
BX = 100 Event : 61
BX = 101 Event : 62
BX = 110 Event : 63
0x00 0000001|0100001 0x00A1
0x01 0001011|0100001 0x05A1
0x02 0001011|0100110 0x05A6
0x03 0001100|0100001 0x0621
0x04 0001100|0100110 0x0626
BX = 111 Event : 64
0x00 0001100|0011000 0x0618
0x01 0001101|0011000 0x0698
0x02 0100100|0001001 0x1209
0x03 0100100|0001010 0x120A
0x04 0100101|0001001 0x1289
0x05 0100101|0001010 0x128A
BX = 000 Event : 65
0x00 0000001|0100100 0x00A4
0x01 0000010|0100100 0x0124
0x02 0000011|0100100 0x01A4
0x03 0000100|0100100 0x0224
0x04 0011111|0100100 0x0FA4
0x05 0100000|0100100 0x1024
BX = 001 Event : 66
BX = 010 Event : 67
0x00 0000010|0000000 0x0100
0x01 0000011|0000000 0x0180
0x02 0011101|0101011 0x0EAB
0x03 0011101|0101111 0x0EAF
0x04 0011101|0110001 0x0EB1
0x05 0011101|1000001 0x0EC1
BX = 011 Event : 68
BX = 100 Event : 69
0x00 0001001|0001000 0x0488
0x01 0010000|0001110 0x080E
BX = 101 Event : 70
0x00 0000101|0111101 0x02BD
BX = 110 Event : 71
BX = 111 Event : 72
0x00 0001110|0011111 0x071F
0x01 0001111|0011111 0x079F
0x02 0010000|0011111 0x081F
BX = 000 Event : 73
BX = 001 Event : 74
BX = 010 Event : 75
0x00 0000101|0010100 0x0294
0x01 0001110|0010100 0x0714
BX = 011 Event : 76
0x00 0001011|0011110 0x059E
0x01 0001011|0100000 0x05A0
0x02 0001100|0011110 0x061E
0x03 0001100|0100000 0x0620
0x04 0001111|0011110 0x079E
0x05 0001111|0100000 0x07A0
0x06 0010000|0011110 0x081E
0x07 0010000|0100000 0x0820
0x08 0010001|0100101 0x08A5
0x09 0010001|0101010 0x08AA
0x0a 0010010|0100101 0x0925
0x0b 0010010|0101010 0x092A
0x0c 0010011|0100101 0x09A5
0x0d 0010011|0101010 0x09AA
0x0e 0010100|0100101 0x0A25
0x0f 0010100|0101010 0x0A2A
0x10 0100011|0100101 0x11A5
0x11 0100011|0101010 0x11AA
0x12 0100100|0100101 0x1225
0x13 0100100|0101010 0x122A
BX = 100 Event : 77
0x00 0100111|0101011 0x13AB
0x01 0101000|0101011 0x142B
BX = 101 Event : 78
0x00 0000010|0010111 0x0117
BX = 110 Event : 79
BX = 111 Event : 80
0x00 0000101|0100100 0x02A4
0x01 0000101|0100101 0x02A5
0x02 0000110|0100100 0x0324
0x03 0001000|0011010 0x041A
0x04 0001001|0011010 0x049A
0x05 0101000|0110001 0x1431
BX = 000 Event : 81
BX = 001 Event : 82
BX = 010 Event : 83
0x00 0000101|0100000 0x02A0
0x01 0000110|0011110 0x031E
0x02 0000110|0011111 0x031F
0x03 0001101|0011110 0x069E
0x04 0001101|0011111 0x069F
BX = 011 Event : 84
0x00 0001101|0000000 0x0680
0x01 0001101|0000100 0x0684
0x02 0001110|0000000 0x0700
0x03 0001110|0000100 0x0704
0x04 0011100|0000000 0x0E00
0x05 0011100|0000100 0x0E04
0x06 0100011|0000000 0x1180
0x07 0100011|0000100 0x1184
BX = 100 Event : 85
BX = 101 Event : 86
BX = 110 Event : 87
BX = 111 Event : 88
BX = 000 Event : 89
BX = 001 Event : 90
BX = 010 Event : 91
BX = 011 Event : 92
BX = 100 Event : 93
0x00 0011100|0110101 0x0E35
0x01 0011100|0111000 0x0E38
0x02 0110110|0110101 0x1B35
0x03 0110110|0111000 0x1B38
0x04 0110111|0110101 0x1BB5
0x05 0110111|0111000 0x1BB8
0x06 0111001|0010100 0x1C94
0x07 0111001|0010101 0x1C95
BX = 101 Event : 94
BX = 110 Event : 95
0x00 0000101|0100101 0x02A5
0x01 0000110|0100100 0x0324
0x02 0000110|0100101 0x0325
0x03 0000110|0100111 0x0327
0x04 0000111|0100100 0x03A4
0x05 0000111|0100101 0x03A5
0x06 0000111|0100111 0x03A7
0x07 0011100|0001100 0x0E0C
0x08 0011100|0001101 0x0E0D
BX = 111 Event : 96
0x00 0000010|0011011 0x011B
0x01 0001111|0011011 0x079B
BX = 000 Event : 97
0x00 0000111|0010101 0x0395
0x01 0010101|0001110 0x0A8E
BX = 001 Event : 98
0x00 0000111|0000010 0x0382
0x01 0001000|0000010 0x0402
0x02 0010100|0000010 0x0A02
0x03 0011001|0000010 0x0C82
0x04 0011010|0000101 0x0D05
0x05 0011010|0001101 0x0D0D
BX = 010 Event : 99
0x00 0000011|0101001 0x01A9
0x01 0000011|0101010 0x01AA
0x02 0000011|0100111 0x01A7
0x03 0000011|0101100 0x01AC
0x04 0000100|0101001 0x0229
0x05 0000100|0101100 0x022C
0x06 0000110|0101001 0x0329
0x07 0000110|0101010 0x032A
0x08 0000110|0100111 0x0327
0x09 0000110|0101100 0x032C
0x0a 0001100|0000111 0x0607
0x0b 0001101|0110000 0x06B0
0x0c 0001110|0110000 0x0730
BX = 011 Event : 100
