BX = 000 Event : 1
0x0c 0010011|0111100 0x09BC
0x0d 0010011|0111101 0x09BD
0x0e 0010100|0011100 0x0A1C
0x0f 0010101|0011100 0x0A9C
0x10 0010110|0011100 0x0B1C
0x11 0010111|0011100 0x0B9C
0x12 0011011|0111000 0x0DB8
0x13 0011101|0111011 0x0EBB
0x14 0011101|0111100 0x0EBC
0x15 0011101|0111101 0x0EBD
0x16 0011110|0011100 0x0F1C
0x17 0011111|0011100 0x0F9C
BX = 101 Event : 38
0x00 0001001|0011000 0x0498
0x01 0001001|0000000 0x0480
0x02 0001001|0000011 0x0483
0x03 0001001|0011101 0x049D
0x04 0001001|0011111 0x049F
0x05 0001010|0011000 0x0518
0x06 0001010|0000000 0x0500
0x07 0001010|0000011 0x0503
0x08 0001010|0011101 0x051D
0x09 0001010|0011111 0x051F
0x0a 0001011|0010100 0x0594
0x0b 0001011|0011000 0x0598
0x0c 0001011|0000000 0x0580
0x0d 0001011|0000011 0x0583
0x0e 0001011|0011101 0x059D
0x0f 0001011|0011111 0x059F
0x10 0001101|0000000 0x0680
0x11 0001101|0000011 0x0683
0x12 0001101|0000100 0x0684
0x13 0001101|0011001 0x0699
0x14 0001101|0011101 0x069D
0x15 0001101|0011111 0x069F
0x16 0001101|0001000 0x0688
0x17 0001110|0000000 0x0700
0x18 0001110|0000011 0x0703
0x19 0001110|0000100 0x0704
0x1a 0001110|0011001 0x0719
0x1b 0001110|0011101 0x071D
0x1c 0001110|0011111 0x071F
0x1d 0001110|0001000 0x0708
0x1e 0010000|0000000 0x0800
0x1f 0010000|0000011 0x0803
0x20 0010000|0000100 0x0804
0x21 0010000|0011001 0x0819
0x22 0010000|0011101 0x081D
0x23 0010000|0011111 0x081F
0x24 0010000|0001000 0x0808
BX = 110 Event : 39
0x00 0000001|0000010 0x0082
0x01 0000010|0000010 0x0102
0x02 0000100|0010111 0x0217
0x03 0000100|0011000 0x0218
BX = 111 Event : 40
0x00 0000010|0010101 0x0115
0x01 0000010|0011000 0x0118
0x02 0000010|0101000 0x0128
0x03 0000010|0101001 0x0129
0x04 0000101|0010101 0x0295
0x05 0000101|0011000 0x0298
0x06 0000101|0011001 0x0299
0x07 0000101|0101000 0x02A8
