BX = 000 Event : 1
0x02 0001011|0100000 0x05A0
0x03 0001011|0100001 0x05A1
0x04 0001011|0100011 0x05A3
0x05 0001011|0100101 0x05A5
BX = 010 Event : 51
BX = 011 Event : 52
0x00 0001101|0001001 0x0689
BX = 100 Event : 53
0x00 0010000|0100010 0x0822
BX = 101 Event : 54
0x00 0010101|0010101 0x0A95
0x01 0010110|0010101 0x0B15
0x02 0011111|0000001 0x0F81
BX = 110 Event : 55
0x00 0001000|0111101 0x043D
0x01 0001001|0111101 0x04BD
BX = 111 Event : 56
BX = 000 Event : 57
BX = 001 Event : 58
0x00 0010001|0100010 0x08A2
BX = 010 Event : 59
BX = 011 Event : 60
0x00 0010111|0100100 0x0BA4
BX = 100 Event : 61
0x00 0011000|0001101 0x0C0D
BX = 101 Event : 62
0x00 0001000|0111001 0x0439
0x01 0001011|0111001 0x05B9
0x02 0011101|0001110 0x0E8E
0x03 0011110|0001110 0x0F0E
BX = 110 Event : 63
0x00 0001000|0011110 0x041E
BX = 111 Event : 64
BX = 000 Event : 65
BX = 001 Event : 66
0x00 0001001|0101011 0x04AB
0x01 0001001|0101111 0x04AF
0x02 0001001|0110000 0x04B0
0x03 0001011|0101011 0x05AB
0x04 0001011|0101111 0x05AF
0x05 0001011|0110000 0x05B0
0x06 0001110|0110110 0x0736
0x07 0001111|0110110 0x07B6
0x08 0100100|0101011 0x122B
0x09 0100100|0101111 0x122F
0x0a 0100100|0110000 0x1230
BX = 010 Event : 67
0x00 0011111|0010011 0x0F93
0x01 0011111|0010111 0x0F97
0x02 0011111|0011001 0x0F99
0x03 0100001|0010011 0x1093
0x04 0100001|0010111 0x1097
0x05 0100001|0011001 0x1099
BX = 011 Event : 68
0x00 0010011|0011001 0x0999
BX = 100 Event : 69
0x00 0100110|0000111 0x1307
0x01 0100110|0001011 0x130B
0x02 0101110|0101100 0x172C
0x03 0101111|0101100 0x17AC
0x04 0110000|0101100 0x182C
0x05 0110001|0101100 0x18AC
BX = 101 Event : 70
0x00 0010010|0001011 0x090B
BX = 110 Event : 71
BX = 111 Event : 72
0x00 0000110|1000111 0x0347
0x01 0000110|0000110 0x0306
0x02 0000110|0001000 0x0308
0x03 0000111|0000110 0x0386
0x04 0000111|0001000 0x0388
0x05 0010000|1000011 0x0843
0x06 0010000|1000100 0x0844
BX = 000 Event : 73
0x00 0001110|0001011 0x070B
BX = 001 Event : 74
0x00 0011001|0001000 0x0C88
0x01 0011100|0001000 0x0E08
0x02 0101001|0100000 0x14A0
0x03 0101010|0100000 0x1520
BX = 010 Event : 75
BX = 011 Event : 76
BX = 100 Event : 77
0x00 0010111|1000100 0x0BC4
0x01 0010111|0010000 0x0B90
0x02 0011010|1000100 0x0D44
0x03 0011010|0010000 0x0D10
0x04 0110010|1000100 0x1944
0x05 0110010|0010000 0x1910
0x06 0110011|1000100 0x19C4
0x07 0110011|0010000 0x1990
BX = 101 Event : 78
BX = 110 Event : 79
BX = 111 Event : 80
0x00 0100000|0000110 0x1006
0x01 0100000|0001000 0x1008
0x02 0100000|0001011 0x100B
0x03 0100000|0001110 0x100E
0x04 0100001|0001110 0x108E
BX = 000 Event : 81
BX = 001 Event : 82
0x00 0001110|1100110 0x0766
0x01 0001111|0100000 0x07A0
0x02 0001111|0101010 0x07AA
0x03 0010000|0100000 0x0820
0x04 0010000|0101010 0x082A
0x05 0111100|1100110 0x1E66
BX = 010 Event : 83
BX = 011 Event : 84
0x00 0010011|0000111 0x0987
0x01 0010011|0001000 0x0988
0x02 0100110|0001101 0x130D
0x03 0101000|0001001 0x1409
0x04 0101000|0001010 0x140A
0x05 0101000|0001100 0x140C
0x06 0101001|0001001 0x1489
0x07 0101001|0001010 0x148A
0x08 0101001|0001100 0x148C
0x09 0101001|0001101 0x148D
0x0a 0110001|0001001 0x1889
0x0b 0110001|0001010 0x188A
0x0c 0110001|0001100 0x188C
0x0d 0110001|0001101 0x188D
0x0e 0110010|0000111 0x1907
0x0f 0110010|0001000 0x1908
BX = 100 Event : 85
0x00 0001110|0111101 0x073D
0x01 0001111|0111101 0x07BD
0x02 0010000|0001001 0x0809
0x03 0110000|0111101 0x183D
0x04 0110000|0001001 0x1809
BX = 101 Event : 86
BX = 110 Event : 87
0x00 0100011|0100111 0x11A7
BX = 111 Event : 88
0x00 0010000|0000100 0x0804
BX = 000 Event : 89
0x00 0100011|0001011 0x118B
0x01 0100011|0001101 0x118D
BX = 001 Event : 90
0x00 0000011|0101110 0x01AE
0x01 0001101|0101100 0x06AC
0x02 0001101|0101111 0x06AF
0x03 0001101|0110000 0x06B0
BX = 010 Event : 91
BX = 011 Event : 92
