BX = 000 Event : 1
BX = 001 Event : 2
0x08 0110000|0100110 0x1826
0x09 0110000|0111101 0x183D
0x0a 0111000|0010100 0x1C14
0x0b 0111001|0100101 0x1CA5
0x0c 0111001|0100110 0x1CA6
0x0d 1001011|0010100 0x2594
0x0e 1001011|0100101 0x25A5
0x0f 1001011|0100110 0x25A6
0x10 1001111|0100000 0x27A0
0x11 1001111|0100001 0x27A1
0x12 1001111|0100101 0x27A5
0x13 1001111|0100110 0x27A6
0x14 1001111|0111101 0x27BD
0x15 1010000|0011101 0x281D
0x16 1010000|0100000 0x2820
0x17 1010000|0100001 0x2821
0x18 1010000|0111101 0x283D
BX = 101 Event : 38
0x00 0001100|0001000 0x0608
0x01 0001100|0001011 0x060B
0x02 0001101|0001000 0x0688
0x03 0001101|0001011 0x068B
0x04 0010010|0110001 0x0931
BX = 110 Event : 39
BX = 111 Event : 40
BX = 000 Event : 41
0x00 0010110|0000010 0x0B02
0x01 0010110|0000110 0x0B06
0x02 0010110|0000111 0x0B07
0x03 0010111|0000010 0x0B82
0x04 0010111|0000110 0x0B86
0x05 0010111|0000111 0x0B87
0x06 0011000|0000111 0x0C07
0x07 0011000|0001100 0x0C0C
BX = 001 Event : 42
0x00 0001000|0000001 0x0401
BX = 010 Event : 43
0x00 0001011|0110100 0x05B4
0x01 0001101|0110100 0x06B4
0x02 0001110|0110100 0x0734
BX = 011 Event : 44
0x00 0010011|0001100 0x098C
0x01 0011101|0001010 0x0E8A
0x02 0011101|0001100 0x0E8C
0x03 0011101|0001101 0x0E8D
0x04 0011110|0001010 0x0F0A
0x05 0011110|0001100 0x0F0C
0x06 0011110|0001101 0x0F0D
0x07 0100010|0010011 0x1113
0x08 0100101|0010101 0x1295
BX = 100 Event : 45
0x00 0011101|0100000 0x0EA0
0x01 0011101|0100001 0x0EA1
0x02 0011110|0100000 0x0F20
0x03 0011110|0100001 0x0F21
0x04 0011111|0100000 0x0FA0
0x05 0011111|0100001 0x0FA1
BX = 101 Event : 46
0x00 0010000|0000110 0x0806
0x01 0010001|0000110 0x0886
0x02 1000100|0111010 0x223A
0x03 1000101|0000110 0x2286
0x04 1000101|0100001 0x22A1
BX = 110 Event : 47
0x00 0001101|0010000 0x0690
0x01 0001101|0010100 0x0694
0x02 0010100|0110010 0x0A32
0x03 0010111|0110010 0x0BB2
0x04 0011010|0110111 0x0D37
0x05 0011010|0111010 0x0D3A
0x06 0011010|0111011 0x0D3B
0x07 0011110|0001101 0x0F0D
0x08 0101111|0100000 0x17A0
0x09 0101111|0100010 0x17A2
BX = 111 Event : 48
BX = 000 Event : 49
0x00 0011111|0000101 0x0F85
0x01 0011111|0110011 0x0FB3
0x02 1010000|0000010 0x2802
0x03 1010000|0000100 0x2804
0x04 1010000|0110100 0x2834
0x05 1010001|0000010 0x2882
0x06 1010001|0000100 0x2884
0x07 1010001|0110100 0x28B4
BX = 001 Event : 50
0x00 0001010|0000100 0x0504
0x01 0001010|0000101 0x0505
0x02 0001101|0000100 0x0684
0x03 0001101|0000101 0x0685
0x04 0011011|0100111 0x0DA7
0x05 0011100|0100111 0x0E27
BX = 010 Event : 51
0x00 0000100|0000010 0x0202
0x01 0000101|0000010 0x0282
0x02 0001101|0001001 0x0689
0x03 0001110|0001001 0x0709
BX = 011 Event : 52
0x00 0010111|0101001 0x0BA9
BX = 100 Event : 53
BX = 101 Event : 54
0x00 0010010|0001011 0x090B
0x01 0010010|0001101 0x090D
0x02 0010010|0001110 0x090E
0x03 0010010|0001111 0x090F
0x04 0010011|0001010 0x098A
0x05 0010011|0001011 0x098B
0x06 0010011|0001101 0x098D
0x07 0010011|0001110 0x098E
BX = 110 Event : 55
BX = 111 Event : 56
0x00 0010111|0000100 0x0B84
0x01 0101101|0000111 0x1687
0x02 0110010|0011111 0x191F
0x03 1011100|0001011 0x2E0B
0x04 1011100|0010001 0x2E11
BX = 000 Event : 57
0x00 0001010|1010011 0x0553
0x01 0100000|0000100 0x1004
0x02 0100000|0000101 0x1005
0x03 0100001|0000100 0x1084
0x04 0100001|0000101 0x1085
0x05 0100001|0001000 0x1088
0x06 0111010|0001000 0x1D08
0x07 0111101|0001000 0x1E88
0x08 1010111|0001111 0x2B8F
0x09 1010111|0111011 0x2BBB
BX = 001 Event : 58
BX = 010 Event : 59
0x00 0100101|0001001 0x1289
BX = 011 Event : 60
0x00 0001110|0000010 0x0702
0x01 0001110|0000100 0x0704
0x02 0101101|0000000 0x1680
0x03 0101101|0000100 0x1684
0x04 0101101|0000101 0x1685
0x05 0101101|0000111 0x1687
0x06 0101101|0001001 0x1689
0x07 0101101|0001010 0x168A
BX = 100 Event : 61
0x00 0011011|0111000 0x0DB8
0x01 0011011|0111001 0x0DB9
0x02 0110000|0000101 0x1805
0x03 0110000|0001001 0x1809
0x04 0110001|0000010 0x1882
0x05 0110001|0000011 0x1883
0x06 0110001|0000101 0x1885
0x07 0110001|0001001 0x1889
0x08 0110010|0000010 0x1902
0x09 0110010|0000011 0x1903
0x0a 0110010|0000101 0x1905
0x0b 0110010|0001001 0x1909
0x0c 0110011|0000010 0x1982
0x0d 0110011|0000101 0x1985
0x0e 0110011|0001001 0x1989
0x0f 0111001|0000101 0x1C85
0x10 0111001|0001001 0x1C89
0x11 0111010|0000101 0x1D05
0x12 0111010|0001001 0x1D09
0x13 1010000|0100000 0x2820
BX = 101 Event : 62
BX = 110 Event : 63
BX = 111 Event : 64
BX = 000 Event : 65
0x00 0001110|0001101 0x070D
0x01 0001110|0001111 0x070F
0x02 0001111|0001101 0x078D
0x03 0001111|0001111 0x078F
0x04 0010000|0011011 0x081B
0x05 0010011|0111100 0x09BC
0x06 0010100|0000001 0x0A01
0x07 0010101|0111100 0x0ABC
0x08 0010110|0000001 0x0B01
BX = 001 Event : 66
BX = 010 Event : 67
0x00 0111001|0011100 0x1C9C
0x01 0111001|0011101 0x1C9D
0x02 0111001|0011110 0x1C9E
0x03 0111110|0000100 0x1F04
0x04 0111110|0000111 0x1F07
0x05 0111111|0011100 0x1F9C
0x06 0111111|0011101 0x1F9D
0x07 0111111|0011110 0x1F9E
0x08 1000001|0011010 0x209A
0x09 1000001|0011100 0x209C
0x0a 1000001|0011110 0x209E
BX = 011 Event : 68
BX = 100 Event : 69
0x00 0110111|0111101 0x1BBD
0x01 0110111|0000001 0x1B81
0x02 0110111|0100011 0x1BA3
0x03 1000000|0101110 0x202E
0x04 1000010|0000001 0x2101
0x05 1000010|0100011 0x2123
0x06 1000011|0000001 0x2181
0x07 1000011|0100011 0x21A3
0x08 1001101|0011101 0x269D
0x09 1001101|0011110 0x269E
0x0a 1001110|0011101 0x271D
0x0b 1001110|0011110 0x271E
BX = 101 Event : 70
0x00 0000001|0010000 0x0090
0x01 0011000|0001001 0x0C09
BX = 110 Event : 71
0x00 0000111|0101101 0x03AD
0x01 0001001|0100001 0x04A1
0x02 0001001|0110110 0x04B6
0x03 0001010|0110110 0x0536
0x04 0010111|0110010 0x0BB2
0x05 0010111|0100001 0x0BA1
0x06 0010111|0110110 0x0BB6
BX = 111 Event : 72
0x00 0101110|0111101 0x173D
0x01 0101110|0111111 0x173F
BX = 000 Event : 73
0x00 0001010|0001101 0x050D
0x01 0001010|0001110 0x050E
0x02 0001010|0010001 0x0511
0x03 0001101|0001101 0x068D
0x04 0001101|0001110 0x068E
0x05 0001101|0010001 0x0691
0x06 0010100|0001101 0x0A0D
0x07 0010100|0001110 0x0A0E
0x08 0010100|0010001 0x0A11
0x09 0010111|0001101 0x0B8D
0x0a 0010111|0001110 0x0B8E
0x0b 0010111|0010001 0x0B91
0x0c 0011001|0001101 0x0C8D
0x0d 0011001|0001110 0x0C8E
0x0e 0011001|0010001 0x0C91
0x0f 0011010|0001101 0x0D0D
0x10 0011010|0001110 0x0D0E
0x11 0011010|0010001 0x0D11
0x12 0011011|0100111 0x0DA7
0x13 0011011|0101000 0x0DA8
0x14 0011100|0100111 0x0E27
0x15 0011100|0101000 0x0E28
0x16 0011111|0001101 0x0F8D
0x17 0011111|0001110 0x0F8E
0x18 0011111|0010001 0x0F91
0x19 0100001|0010010 0x1092
0x1a 0100001|0010100 0x1094
0x1b 1000000|0000010 0x2002
0x1c 1000000|0000011 0x2003
0x1d 1000000|0101011 0x202B
0x1e 1000000|0101100 0x202C
0x1f 1001101|0001101 0x268D
0x20 1001101|0001110 0x268E
0x21 1001101|0010001 0x2691
0x22 1001101|0010011 0x2693
BX = 001 Event : 74
0x00 0001011|0000011 0x0583
0x01 0001011|0000100 0x0584
0x02 0001011|0011100 0x059C
0x03 0001011|0011101 0x059D
0x04 0010010|0000011 0x0903
0x05 0010010|0000100 0x0904
0x06 0010010|0011100 0x091C
0x07 0010010|0011101 0x091D
BX = 010 Event : 75
BX = 011 Event : 76
0x00 0010011|0010000 0x0990
0x01 0010111|0011001 0x0B99
0x02 0011000|0011001 0x0C19
0x03 0011001|0011001 0x0C99
BX = 100 Event : 77
BX = 101 Event : 78
0x00 0000110|0001011 0x030B
BX = 110 Event : 79
0x00 0010001|0011011 0x089B
0x01 0010010|0011011 0x091B
0x02 0010011|0011011 0x099B
0x03 0010100|0011011 0x0A1B
0x04 0010101|0011011 0x0A9B
0x05 0010110|0011011 0x0B1B
0x06 0100010|0000111 0x1107
0x07 0100010|0001000 0x1108
0x08 0100010|0001100 0x110C
BX = 111 Event : 80
BX = 000 Event : 81
BX = 001 Event : 82
0x00 0001100|0000001 0x0601
0x01 0001100|0000010 0x0602
0x02 0001100|0011001 0x0619
0x03 0010000|0000001 0x0801
0x04 0010000|0000010 0x0802
0x05 0010000|0011001 0x0819
BX = 010 Event : 83
BX = 011 Event : 84
0x00 0011101|0010101 0x0E95
0x01 0011101|0010110 0x0E96
0x02 0011111|0001101 0x0F8D
0x03 0100000|0010001 0x1011
0x04 0100001|0010001 0x1091
0x05 0100011|0010001 0x1191
0x06 0100100|0010001 0x1211
0x07 0100110|0010001 0x1311
0x08 1000000|0010001 0x2011
0x09 1001111|0001101 0x278D
0x0a 1001111|0010001 0x2791
0x0b 1001111|0010101 0x2795
0x0c 1001111|0010110 0x2796
BX = 100 Event : 85
0x00 0001111|0000011 0x0783
0x01 0001111|0000101 0x0785
0x02 0010000|0000011 0x0803
0x03 0010000|0000101 0x0805
0x04 0010001|0000011 0x0883
0x05 0010001|0000101 0x0885
BX = 101 Event : 86
0x00 0101011|0010101 0x1595
0x01 0101101|0010101 0x1695
0x02 0101101|0011011 0x169B
0x03 0101101|0011100 0x169C
0x04 0101110|0010101 0x1715
0x05 0101111|0010101 0x1795
0x06 0110001|0010101 0x1895
0x07 0110010|0010101 0x1915
0x08 0110010|0011011 0x191B
0x09 0110010|0011100 0x191C
BX = 110 Event : 87
0x00 0011100|0000101 0x0E05
0x01 0011101|0000101 0x0E85
0x02 0111011|0000101 0x1D85
0x03 0111100|0000101 0x1E05
0x04 0111101|0000101 0x1E85
0x05 0111110|0000101 0x1F05
0x06 0111111|0000011 0x1F83
0x07 0111111|0000101 0x1F85
BX = 111 Event : 88
0x00 0001101|0000000 0x0680
0x01 0010001|0000111 0x0887
0x02 0010010|0000111 0x0907
0x03 0010110|0100010 0x0B22
0x04 0011100|0001111 0x0E0F
0x05 0011100|0010000 0x0E10
0x06 0011110|0000000 0x0F00
0x07 0011110|0100010 0x0F22
BX = 000 Event : 89
0x00 0101111|0001101 0x178D
0x01 0110000|0001101 0x180D
0x02 1000010|0001100 0x210C
0x03 1000010|0001111 0x210F
0x04 1000010|0010001 0x2111
0x05 1000011|0001100 0x218C
0x06 1000100|0001100 0x220C
0x07 1000100|0001111 0x220F
0x08 1000100|0010001 0x2211
0x09 1000101|0001100 0x228C
0x0a 1001001|0001100 0x248C
0x0b 1001001|0001111 0x248F
0x0c 1001001|0010001 0x2491
0x0d 1001001|0010100 0x2494
BX = 001 Event : 90
BX = 010 Event : 91
0x00 0100110|0100000 0x1320
0x01 0100111|0100000 0x13A0
0x02 0101010|0000111 0x1507
0x03 0101010|0001000 0x1508
0x04 0101010|0110001 0x1531
0x05 0101010|0110010 0x1532
0x06 0101011|0000111 0x1587
0x07 0101011|0001000 0x1588
0x08 0101011|0110001 0x15B1
0x09 0101011|0110010 0x15B2
0x0a 0110101|0010111 0x1A97
0x0b 0110101|0100000 0x1AA0
BX = 011 Event : 92
0x00 0010100|0000000 0x0A00
0x01 0010101|0001010 0x0A8A
0x02 0010101|0001011 0x0A8B
0x03 0010110|0001010 0x0B0A
0x04 0010110|0001011 0x0B0B
0x05 0010111|0001010 0x0B8A
0x06 0010111|0001011 0x0B8B
0x07 0011000|0001010 0x0C0A
0x08 0011000|0001011 0x0C0B
0x09 0011010|0101100 0x0D2C
0x0a 0011011|0101100 0x0DAC
0x0b 0011100|0101100 0x0E2C
0x0c 0100000|0001010 0x100A
0x0d 0100000|0001011 0x100B
0x0e 0100000|0001101 0x100D
0x0f 0100010|0001010 0x110A
