BX = 000 Event : 1
0x08 0110011|0000000 0x1980
0x09 0110011|0111100 0x19BC
0x0a 0111100|0000011 0x1E03
0x0b 0111100|0101011 0x1E2B
0x0c 0111100|0101100 0x1E2C
0x0d 0111100|0111010 0x1E3A
0x0e 0111101|0000011 0x1E83
0x0f 0111101|0101011 0x1EAB
0x10 0111101|0101100 0x1EAC
0x11 0111101|0111010 0x1EBA
0x12 1000001|0111010 0x20BA
0x13 1000111|0010010 0x2392
0x14 1000111|0010100 0x2394
BX = 001 Event : 74
0x00 0001000|0000100 0x0404
0x01 0001000|0011100 0x041C
0x02 0001000|0011101 0x041D
BX = 010 Event : 75
0x00 0000010|0011001 0x0119
0x01 0011001|0100110 0x0CA6
0x02 0011001|0100111 0x0CA7
0x03 0011001|0101000 0x0CA8
0x04 0011010|0011000 0x0D18
0x05 0011010|0011001 0x0D19
0x06 0011010|0011011 0x0D1B
0x07 0011011|0011000 0x0D98
0x08 0011011|0011001 0x0D99
0x09 0011011|0011011 0x0D9B
BX = 011 Event : 76
0x00 0011010|1000101 0x0D45
0x01 0011010|1000110 0x0D46
0x02 0011010|1000111 0x0D47
0x03 0011010|1001000 0x0D48
0x04 0011010|1001010 0x0D4A
0x05 0011010|1001100 0x0D4C
0x06 0011011|1000101 0x0DC5
0x07 0011011|1000110 0x0DC6
0x08 0011011|1000111 0x0DC7
0x09 0011011|1001000 0x0DC8
0x0a 0011011|1001010 0x0DCA
0x0b 0011011|1001100 0x0DCC
BX = 100 Event : 77
0x00 0011011|0100011 0x0DA3
BX = 101 Event : 78
BX = 110 Event : 79
0x00 0010000|0001000 0x0808
0x01 0010000|0001010 0x080A
0x02 0100011|0100110 0x11A6
0x03 0100011|0100111 0x11A7
BX = 111 Event : 80
0x00 0010110|0010111 0x0B17
BX = 000 Event : 81
BX = 001 Event : 82
0x00 0001001|0101010 0x04AA
0x01 0001011|0000010 0x0582
0x02 0001011|0011001 0x0599
BX = 010 Event : 83
BX = 011 Event : 84
0x00 0111110|1000100 0x1F44
0x01 0111111|1000100 0x1FC4
BX = 100 Event : 85
0x00 0101110|1001101 0x174D
BX = 101 Event : 86
0x00 1000100|1000101 0x2245
0x01 1001110|0010111 0x2717
0x02 1001110|0011010 0x271A
0x03 1001110|0101111 0x272F
0x04 1001111|0010111 0x2797
0x05 1001111|0011010 0x279A
0x06 1001111|0101111 0x27AF
BX = 110 Event : 87
0x00 0010111|0001011 0x0B8B
0x01 0011000|0011110 0x0C1E
0x02 0011001|0011110 0x0C9E
0x03 0011110|0000011 0x0F03
0x04 0110010|0001010 0x190A
0x05 0110010|0101000 0x1928
0x06 0110011|0001010 0x198A
0x07 0110011|0001011 0x198B
0x08 0110011|0101000 0x19A8
0x09 0110110|0001010 0x1B0A
0x0a 0110110|0101000 0x1B28
BX = 111 Event : 88
0x00 0010101|0001110 0x0A8E
BX = 000 Event : 89
0x00 0100111|0100100 0x13A4
0x01 0101000|0100100 0x1424
0x02 0101001|0110011 0x14B3
0x03 0101010|0100100 0x1524
0x04 0101011|0100100 0x15A4
BX = 001 Event : 90
BX = 010 Event : 91
0x00 0100101|0110000 0x12B0
0x01 0100101|0001000 0x1288
