BX = 000 Event : 1
0x07 0010111|0101011 0x0BAB
0x08 0011000|0101011 0x0C2B
BX = 101 Event : 46
0x00 0011100|0010100 0x0E14
0x01 0011101|0010100 0x0E94
BX = 110 Event : 47
0x00 0001010|0100110 0x0526
0x01 0001011|0100110 0x05A6
0x02 0010000|0100110 0x0826
0x03 0010001|0100110 0x08A6
BX = 111 Event : 48
BX = 000 Event : 49
0x00 0000110|0101100 0x032C
0x01 0000110|0101101 0x032D
0x02 0000110|0110101 0x0335
0x03 0000111|0001101 0x038D
0x04 0001000|0001101 0x040D
0x05 0001001|0001101 0x048D
0x06 0001110|0101100 0x072C
0x07 0001110|0101101 0x072D
0x08 0001110|0110101 0x0735
0x09 0001111|0001101 0x078D
0x0a 0001111|0010000 0x0790
0x0b 0010000|0001101 0x080D
0x0c 0010000|0010000 0x0810
0x0d 0010001|0001101 0x088D
0x0e 0010001|0010000 0x0890
0x0f 0010010|0001101 0x090D
0x10 0010010|0010000 0x0910
0x11 0010011|0001101 0x098D
0x12 0010100|0001101 0x0A0D
BX = 001 Event : 50
0x00 0010001|0011010 0x089A
0x01 0010001|0011011 0x089B
BX = 010 Event : 51
0x00 0000100|0000001 0x0201
BX = 011 Event : 52
0x00 0001100|0011000 0x0618
0x01 0100011|0011000 0x1198
0x02 0110000|0011000 0x1818
BX = 100 Event : 53
BX = 101 Event : 54
BX = 110 Event : 55
0x00 0000001|0001010 0x008A
0x01 0000011|0001010 0x018A
BX = 111 Event : 56
BX = 000 Event : 57
0x00 0000011|0100001 0x01A1
0x01 0000100|0100001 0x0221
0x02 0001010|0100001 0x0521
0x03 0010000|0000100 0x0804
0x04 0010000|0000111 0x0807
0x05 0010000|0000101 0x0805
0x06 0010000|0000110 0x0806
0x07 0010000|0001111 0x080F
BX = 001 Event : 58
0x00 0001001|0000101 0x0485
0x01 0100000|0000101 0x1005
BX = 010 Event : 59
0x00 0000101|0010011 0x0293
0x01 0000101|0011010 0x029A
0x02 0001100|0011010 0x061A
0x03 0001110|0011010 0x071A
BX = 011 Event : 60
0x00 0001101|0110101 0x06B5
0x01 0001110|0110101 0x0735
0x02 0011000|0110101 0x0C35
0x03 0100011|1001010 0x11CA
0x04 0100100|1001010 0x124A
0x05 0100101|1001010 0x12CA
0x06 0100110|1001010 0x134A
0x07 0101010|1001010 0x154A
0x08 0101011|1001010 0x15CA
0x09 0101110|0100011 0x1723
0x0a 0101111|0010100 0x1794
0x0b 0101111|0100011 0x17A3
0x0c 0111111|0100011 0x1FA3
0x0d 1000000|0010100 0x2014
0x0e 1000000|0100011 0x2023
0x0f 1001100|1001010 0x264A
0x10 1001101|1001010 0x26CA
0x11 1001110|1001010 0x274A
0x12 1001111|1001010 0x27CA
0x13 1010000|1001010 0x284A
BX = 100 Event : 61
BX = 101 Event : 62
0x00 0001100|0000100 0x0604
BX = 110 Event : 63
0x00 0001010|0100111 0x0527
0x01 0010001|0010011 0x0893
BX = 111 Event : 64
0x00 0001101|0001000 0x0688
0x01 0010011|0100101 0x09A5
0x02 0010101|0011110 0x0A9E
0x03 0010110|0011110 0x0B1E
0x04 0010111|0011110 0x0B9E
0x05 0101100|0011101 0x161D
0x06 0101100|0011110 0x161E
BX = 000 Event : 65
0x00 0010111|0001010 0x0B8A
0x01 0011001|0000011 0x0C83
0x02 0011001|0000111 0x0C87
