BX 001 Event : 2
01|0000000|1110001|10101110111101|0100|1010 0x101C6BBD4A
01|0000001|1011011|10110011010101|1001|0010 0x1036ECD592
01|0000010|0100110|10110100110011|0000|1000 0x1049AD3308
01|0000010|0001111|11011011000000|0101|1010 0x1043F6C05A
01|0000101|1110001|10010010100111|1010|0010 0x10BC64A7A2
01|0000100|1110001|10010101111101|1100|0001 0x109C657DC1
01|0000100|1110001|10100110001110|0101|1010 0x109C698E5A
01|0000100|1011011|10111011111000|0011|0011 0x1096EEF833
01|0000101|1110001|11111000100011|1100|0001 0x10BC7E23C1
01|0000111|0001111|10010001110011|1111|0000 0x10E3E473F0
01|0000111|0001111|11000010011000|0000|1010 0x10E3F0980A
01|0001001|1110001|10010110110111|1111|0000 0x113C65B7F0
01|0001000|1110001|11110001001000|0011|0010 0x111C7C4832
00|1100111|00000011|10010000011001011|1010 0x0CE0720CBA
00|1100100|00001101|10010110011000110|1000 0x0C81B2CC68
00|1100011|00010011|10010001001001000|1001 0x0C62722489
00|1100011|00010011|10001001100110101|1000 0x0C62713358
00|1100011|00100011|10000111101000110|0000 0x0C6470F460
00|1100011|01100001|10001101000111000|1001 0x0C6C31A389
BX 110 Event : 7
01|0000001|1011011|10001111101111|0101|0011 0x1036E3EF53
01|0000001|1011011|11001110101000|0101|0011 0x1036F3A853
01|0000001|1011011|10111001111111|1101|1010 0x1036EE7FDA
01|0000001|1110001|11101111011101|0110|1001 0x103C7BDD69
01|0000011|0001111|10011100100011|0010|1001 0x1063E72329
01|0000010|0001111|10010000001111|1101|1000 0x1043E40FD8
01|0000011|0001111|11001100000011|1110|0001 0x1063F303E1
01|0000010|0001111|11010010110011|0001|0011 0x1043F4B313
01|0000101|1011011|10001100111001|0101|1001 0x10B6E33959
01|0000101|1011011|10000011011000|0000|0001 0x10B6E0D801
01|0000101|1110001|10100101101111|0101|1001 0x10BC696F59
01|0000101|1110001|10100101111110|0101|0001 0x10BC697E51
01|0000101|1011011|10111011101110|0011|1000 0x10B6EEEE38
01|0000100|1110001|11001010010000|1110|0011 0x109C7290E3
01|0000100|1110001|11001100010000|1111|1010 0x109C7310FA
01|0000100|1110001|11001110000000|0000|1000 0x109C738008
01|0000101|1011011|11100100111000|1111|1001 0x10B6F938F9
01|0000101|1011011|11100100110000|1111|0000 0x10B6F930F0
01|0000101|1011011|11100001001000|1101|1010 0x10B6F848DA
01|0000111|0001111|10010011101101|0000|1010 0x10E3E4ED0A
01|0000111|0001111|10001001001101|1010|0001 0x10E3E24DA1
01|0000110|0001111|10001101011111|1101|0100 0x10C3E35FD4
01|0000110|0100110|10100110101100|1110|0011 0x10C9A9ACE3
