BX = 000 Event : 1
00 0000001|0010000|00001111110000|0010|1010 0x02403F02A
01 0000001|0010000|00000101010101|1110|0010 0x0240155E2
02 0000000|0100110|00100110111110|1111|1010 0x00989BEFA
03 0000010|1110001|00000011100001|1101|1010 0x05C40E1DA
04 0000010|1110001|00011000010010|0111|1000 0x05C461278
05 0000010|1011011|00011000010001|1010|0010 0x056C611A2
06 0000010|1110001|00110101111101|1010|1000 0x05C4D7DA8
07 0000010|1110001|00110110000100|1010|0010 0x05C4D84A2
08 0000010|1110001|00111011101010|1101|0001 0x05C4EEAD1
09 0000101|0010000|00011001000100|1100|0010 0x0A40644C2
0a 0001000|0010000|00110011101110|0010|1001 0x1040CEE29
BX = 011 Event : 12
00 0000000|0010000|00000110110010|1111|0001 0x00401B2F1
01 0000000|0010000|00000101100100|1110|0011 0x0040164E3
02 0000010|1110001|00011000001110|0111|1010 0x05C460E7A
03 0000011|1011011|00100110001011|0000|1001 0x076C98B09
04 0000010|1011011|00011000100001|1010|1011 0x056C621AB
05 0000011|1110001|00110111100010|1011|1010 0x07C4DE2BA
06 0000011|1110001|00110111111111|1011|0011 0x07C4DFFB3
07 0000010|1110001|00111111100010|1111|0100 0x05C4FE2F4
08 0000101|0100110|00010011110011|0111|1010 0x0A984F37A
09 0000100|0100110|00010000010101|0100|1010 0x08984154A
0a 0000100|0100110|00010100100011|0111|1001 0x089852379
0b 0000101|0010000|00011011100000|1101|0001 0x0A406E0D1
0c 0000100|0010000|00100001001001|0000|0000 0x084084900
0d 0000100|0010000|00010100000010|1001|1001 0x084050299
0e 0000101|0100110|00110011101001|1101|0010 0x0A98CE9D2
0f 0000100|0100110|00110111101010|1111|0000 0x0898DEAF0
10 0000111|1011011|00010010000111|0111|1010 0x0F6C4877A
11 0000110|1011011|00001110010011|0100|1011 0x0D6C3934B
12 0000111|1110001|00010010110111|1001|1011 0x0FC44B79B
13 0000110|1110001|00011011110111|1111|0100 0x0DC46F7F4
14 0000111|1011011|00111001000000|0010|1001 0x0F6CE4029
15 0001001|0100110|00011011000001|0000|0010 0x12986C102
16 0001001|0010000|00101100010000|1110|1001 0x1240B10E9
17 0001000|0010000|00111001011001|0110|1000 0x1040E5968
18 0001000|0100110|00111001111110|1001|1001 0x1098E7E99
BX = 100 Event : 13
00 0000001|0010000|00001000001111|1111|1001 0x024020FF9
01 0000000|0010000|00000111000110|1111|1000 0x00401C6F8
02 0000001|0010000|00110111100110|1001|0001 0x0240DE691
03 0000011|1110001|00010101000000|0110|0001 0x07C454061
04 0000010|1110001|00001000011001|0000|0010 0x05C421902
05 0000101|0100110|00000000100010|1100|1001 0x0A98022C9
06 0000101|0100110|00001000100101|0000|0001 0x0A9822501
07 0000101|0100110|00001111110111|0100|0010 0x0A983F742
08 0000100|0100110|00000010000001|1101|0010 0x0898081D2
09 0000101|0010000|00101100100110|0111|0001 0x0A40B2671
0a 0000100|0010000|00101010101110|0101|1001 0x0840AAE59
0b 0000100|0010000|00010100111101|1010|0001 0x084053DA1
0c 0000101|0100110|00101100100101|1001|0001 0x0A98B2591
0d 0000100|0100110|00110111011000|1111|0000 0x0898DD8F0
0e 0000110|1110001|00100011101100|0011|0100 0x0DC48EC34
0f 0000110|1011011|00110110111101|0000|1000 0x0D6CDBD08
10 0001000|0010000|00000010110011|1110|1010 0x10400B3EA
11 0001000|0010000|00111011001001|0111|0001 0x1040EC971
12 0001000|0010000|00111011000101|0111|0000 0x1040EC570
13 0001000|0100110|00111010110010|1010|0001 0x1098EB2A1
BX = 101 Event : 14
00 0000000|0010000|00001110101011|0001|0000 0x00403AB10
01 0000000|0010000|00000000010000|1100|0000 0x0040010C0
02 0000000|0100110|00101000101110|0000|0001 0x0098A2E01
03 0000001|0010000|00111111111111|1101|1010 0x0240FFFDA
04 0000010|1011011|00101110000101|0100|1011 0x056CB854B
05 0000010|1011011|00101010000001|0010|0001 0x056CA8121
06 0000010|1011011|00011111101010|1101|1011 0x056C7EADB
07 0000101|0010000|00010110001111|1010|0011 0x0A4058FA3
08 0000111|1011011|00001001101111|0001|1011 0x0F6C26F1B
09 0000110|1011011|00001110101111|0100|0001 0x0D6C3AF41
0a 0000110|1110001|00011010001101|1110|1010 0x0DC468DEA
0b 0000110|1011011|00110111101010|0001|0001 0x0D6CDEA11
0c 0001001|0010000|00101111110111|0000|0001 0x1240BF701
0d 0001001|0100110|00111111100111|1101|0011 0x1298FE7D3
BX = 110 Event : 15
00 0000001|0100110|00100100000100|1110|1011 0x0298904EB
01 0000001|0100110|00100100001111|1110|0001 0x029890FE1
02 0000001|0100110|00100111110001|0000|0001 0x02989F101
03 0000100|0010000|00011110101101|1111|1000 0x08407ADF8
04 0000111|1011011|00000110100000|0000|0011 0x0F6C1A003
05 0001001|0100110|00010011101111|1011|0011 0x12984EFB3
06 0001000|0100110|00010011011011|1011|1001 0x10984DBB9
BX = 111 Event : 16
00 0000001|0100110|00101111101001|0010|0010 0x0298BE922
01 0000011|1110001|00001001011101|0000|0100 0x07C425D04
02 0000011|1110001|00010010010001|0100|0001 0x07C449141
