0x03 0101010|0000011 0x1503
0x04 1001000|1000010 0x2442
BX = 101 Event : 86
BX = 110 Event : 87
0x00 0010000|0000100 0x0804
0x01 0010000|0011001 0x0819
BX = 111 Event : 88
0x00 0001111|0010011 0x0793
0x01 0010110|1000101 0x0B45
0x02 0010111|1000101 0x0BC5
BX = 000 Event : 89
BX = 001 Event : 90
0x00 0001011|0001101 0x058D
BX = 010 Event : 91
0x00 0110001|0011110 0x189E
0x01 0110010|0011110 0x191E
BX = 011 Event : 92
0x00 0010000|0100000 0x0820
0x01 0010001|0100011 0x08A3
0x02 0011000|1010100 0x0C54
0x03 0011000|1010101 0x0C55
0x04 0011010|1010100 0x0D54
0x05 0011010|1010101 0x0D55
0x06 0100111|0001111 0x138F
0x07 0101111|0001111 0x178F
BX = 100 Event : 93
0x00 0000110|0011101 0x031D
0x01 0011001|0010011 0x0C93
BX = 101 Event : 94
0x00 0001010|0010000 0x0510
BX = 110 Event : 95
0x00 0100110|0010011 0x1313
0x01 0101001|0010011 0x1493
0x02 0101110|0010011 0x1713
BX = 111 Event : 96
0x00 0011001|0100111 0x0CA7
0x01 0011010|0001010 0x0D0A
BX = 000 Event : 97
BX = 001 Event : 98
0x00 0010101|0011100 0x0A9C
0x01 0100101|1000000 0x12C0
0x02 0101001|1000000 0x14C0
BX = 010 Event : 99
BX = 011 Event : 100
