BX = 000 Event : 1
0x02 0000101|0001100 0x028C
0x03 0000110|0010011 0x0313
0x04 0001110|0010011 0x0713
0x05 0111100|0100111 0x1E27
BX = 111 Event : 56
0x00 0101001|0111100 0x14BC
0x01 0101001|0111101 0x14BD
BX = 000 Event : 57
0x00 0001010|0001111 0x050F
0x01 0001010|0010000 0x0510
0x02 0001010|0010001 0x0511
0x03 0001100|0010100 0x0614
0x04 0010101|0010100 0x0A94
0x05 0110001|0110110 0x18B6
0x06 0110001|0110111 0x18B7
0x07 0110001|1001001 0x18C9
0x08 0110001|1001010 0x18CA
0x09 1001000|1010001 0x2451
0x0a 1001000|1010011 0x2453
BX = 001 Event : 58
0x00 0001111|0001110 0x078E
0x01 0010100|0010100 0x0A14
0x02 0111010|0111001 0x1D39
0x03 0111011|0111001 0x1DB9
BX = 010 Event : 59
0x00 0010100|0011000 0x0A18
BX = 011 Event : 60
0x00 0001010|0100110 0x0526
0x01 0001100|0010100 0x0614
0x02 0001100|0100110 0x0626
0x03 0010110|0101001 0x0B29
0x04 0110001|1001010 0x18CA
0x05 0111001|1010001 0x1CD1
0x06 0111110|1010101 0x1F55
0x07 0111110|1011011 0x1F5B
0x08 1000001|1010101 0x20D5
0x09 1000001|1011011 0x20DB
BX = 100 Event : 61
0x00 0000110|0010110 0x0316
0x01 0000111|0010011 0x0393
0x02 0000111|0010110 0x0396
0x03 0000111|0011011 0x039B
0x04 0010100|0100110 0x0A26
0x05 0111110|1010010 0x1F52
BX = 101 Event : 62
0x00 0001011|0001111 0x058F
0x01 0001011|0010000 0x0590
0x02 0001011|0010001 0x0591
0x03 0001011|0010100 0x0594
0x04 0001100|0010010 0x0612
0x05 0001101|0001111 0x068F
0x06 0001101|0010000 0x0690
0x07 0001101|0010001 0x0691
0x08 0001101|0010100 0x0694
0x09 0001110|0001111 0x070F
0x0a 0001110|0010000 0x0710
0x0b 0001110|0010001 0x0711
0x0c 0001110|0010100 0x0714
0x0d 0011110|0100011 0x0F23
0x0e 0011110|0100111 0x0F27
0x0f 0100100|0110010 0x1232
0x10 0100101|0110010 0x12B2
0x11 0100110|0110000 0x1330
0x12 0100110|0110110 0x1336
BX = 110 Event : 63
0x00 0010111|0010011 0x0B93
0x01 0101011|0110100 0x15B4
BX = 111 Event : 64
0x00 0001010|0011111 0x051F
0x01 0001110|0100000 0x0720
0x02 0001110|0100001 0x0721
0x03 0001110|0100010 0x0722
0x04 0010011|0100110 0x09A6
0x05 0010011|0101101 0x09AD
0x06 0110000|1001101 0x184D
BX = 000 Event : 65
0x00 0011110|0101110 0x0F2E
0x01 0011110|0110001 0x0F31
0x02 0011110|0110010 0x0F32
0x03 0100000|0110001 0x1031
0x04 0100000|0110010 0x1032
0x05 0100011|0110101 0x11B5
BX = 001 Event : 66
0x00 0011001|0100101 0x0CA5
0x01 0011011|0011111 0x0D9F
0x02 0110110|1000000 0x1B40
0x03 0110110|1000001 0x1B41
0x04 0110110|1001101 0x1B4D
0x05 0110111|1000000 0x1BC0
0x06 0110111|1000001 0x1BC1
0x07 0110111|1000010 0x1BC2
0x08 0110111|1001101 0x1BCD
0x09 0111000|1000010 0x1C42
0x0a 0111001|0111111 0x1CBF
BX = 010 Event : 67
0x00 0001111|0010100 0x0794
0x01 0010100|0010100 0x0A14
0x02 0010100|0010110 0x0A16
0x03 0010100|0010111 0x0A17
0x04 0110111|1001100 0x1BCC
0x05 0110111|1001101 0x1BCD
0x06 0111000|1001100 0x1C4C
