BX = 000 Event : 1
0x00 0100100|0000011 0x1203
0x01 0100101|0000011 0x1283
0x02 0110010|0111100 0x193C
0x03 0110010|0111101 0x193D
BX = 100 Event : 85
0x00 0101101|1000001 0x16C1
0x01 0110010|1000001 0x1941
0x02 0110101|0000100 0x1A84
0x03 1011101|1000001 0x2EC1
BX = 101 Event : 86
0x00 0000011|0000011 0x0183
0x01 0010000|0010010 0x0812
0x02 0101111|0000011 0x1783
0x03 0110100|0011101 0x1A1D
0x04 0110111|0100111 0x1BA7
BX = 110 Event : 87
0x00 0000010|0000111 0x0107
0x01 0000010|0001001 0x0109
0x02 0000011|0001000 0x0188
0x03 0000011|0001001 0x0189
0x04 0000100|0001001 0x0209
0x05 0000101|0001001 0x0289
0x06 0110011|0001001 0x1989
0x07 0110111|0011101 0x1B9D
BX = 111 Event : 88
0x00 0001011|0010011 0x0593
BX = 000 Event : 89
0x00 0000001|0000101 0x0085
0x01 0001110|0011100 0x071C
BX = 001 Event : 90
0x00 0000000|0000101 0x0005
0x01 0000010|0000101 0x0105
0x02 0000010|0001000 0x0108
BX = 010 Event : 91
0x00 0000101|0000101 0x0285
0x01 0001110|0001110 0x070E
0x02 0001110|0001111 0x070F
0x03 0011001|0011111 0x0C9F
0x04 1001001|0111001 0x24B9
BX = 011 Event : 92
BX = 100 Event : 93
0x00 0000101|0000010 0x0282
0x01 1000011|0000010 0x2182
BX = 101 Event : 94
0x00 0000000|0000010 0x0002
0x01 0000001|0000010 0x0082
0x02 0000001|0000100 0x0084
BX = 110 Event : 95
BX = 111 Event : 96
0x00 0011110|0100000 0x0F20
BX = 000 Event : 97
0x00 0100100|0111001 0x1239
0x01 0111010|0111001 0x1D39
BX = 001 Event : 98
0x00 0000100|0000110 0x0206
0x01 0000110|0000110 0x0306
0x02 0001000|0000110 0x0406
0x03 0001000|0000111 0x0407
0x04 0001000|0001000 0x0408
0x05 0001000|0001001 0x0409
0x06 0001000|0001011 0x040B
0x07 0010110|0011110 0x0B1E
0x08 0011001|0101001 0x0CA9
0x09 0101000|0000110 0x1406
0x0a 0101000|0000111 0x1407
0x0b 0101000|0001000 0x1408
0x0c 0101000|0001001 0x1409
0x0d 0111000|0111101 0x1C3D
BX = 010 Event : 99
0x00 0101111|0000100 0x1784
0x01 0111111|0111010 0x1FBA
BX = 011 Event : 100
0x00 0000110|0001111 0x030F
0x01 0001110|0001111 0x070F
0x02 0010101|0000001 0x0A81
0x03 0011100|0000010 0x0E02
0x04 0011100|0000101 0x0E05
0x05 0011101|0000010 0x0E82
