BX = 000 Event : 1
BX = 001 Event : 2
BX = 010 Event : 3
0x00 0110101|0101100 0x1AAC
0x01 0011111|0011111 0x0F9F
BX = 001 Event : 66
0x00 0000110|0000100 0x0304
0x01 0001110|0000110 0x0706
0x02 0001110|0000111 0x0707
0x03 0001110|0001000 0x0708
0x04 0010010|0001011 0x090B
0x05 0110100|0100001 0x1A21
BX = 010 Event : 67
0x00 0000100|0000000 0x0200
0x01 0001111|0000010 0x0782
0x02 0001111|0000100 0x0784
0x03 0010000|0000010 0x0802
BX = 011 Event : 68
BX = 100 Event : 69
0x00 0000010|0000000 0x0100
0x01 0000100|0000001 0x0201
BX = 101 Event : 70
BX = 110 Event : 71
0x00 0101111|0100010 0x17A2
BX = 111 Event : 72
0x00 0010000|0000101 0x0805
0x01 1000100|0111001 0x2239
0x02 1001000|0111101 0x243D
BX = 000 Event : 73
0x00 0010111|0000011 0x0B83
BX = 001 Event : 74
BX = 010 Event : 75
BX = 011 Event : 76
BX = 100 Event : 77
0x00 0001000|0000001 0x0401
0x01 0001011|0000001 0x0581
0x02 0001011|0000010 0x0582
0x03 0110001|0011011 0x189B
0x04 0110001|0011100 0x189C
0x05 0110001|0011101 0x189D
0x06 0110001|0011110 0x189E
0x07 0110001|0011111 0x189F
0x08 0110001|0100000 0x18A0
BX = 101 Event : 78
0x00 0000000|0000111 0x0007
BX = 110 Event : 79
0x00 0000000|0011010 0x001A
0x01 0000000|0011011 0x001B
0x02 0000001|0011010 0x009A
0x03 0000010|0011011 0x011B
0x04 0101101|0011001 0x1699
0x05 0101110|0010101 0x1715
0x06 0101110|0010110 0x1716
0x07 0101110|0011000 0x1718
BX = 111 Event : 80
0x00 1000100|0100001 0x2221
BX = 000 Event : 81
BX = 001 Event : 82
BX = 010 Event : 83
0x00 0111101|0101000 0x1EA8
0x01 0111101|0101001 0x1EA9
0x02 0111101|0101011 0x1EAB
0x03 0111101|0101101 0x1EAD
BX = 011 Event : 84
0x00 0000000|0010101 0x0015
0x01 0000001|0010101 0x0095
0x02 0000010|0010101 0x0115
0x03 0000011|0010101 0x0195
0x04 0000011|0010110 0x0196
0x05 0000110|0010110 0x0316
0x06 0010111|0000001 0x0B81
0x07 0111111|0010011 0x1F93
BX = 100 Event : 85
0x00 0000000|0011110 0x001E
0x01 0000000|0100001 0x0021
BX = 101 Event : 86
0x00 0000110|0000000 0x0300
BX = 110 Event : 87
0x00 0000001|0100100 0x00A4
0x01 0000010|0100100 0x0124
BX = 111 Event : 88
0x00 0000011|0011001 0x0199
0x01 0000011|0011010 0x019A
0x02 0000101|0011010 0x029A
0x03 0001010|0011011 0x051B
BX = 000 Event : 89
0x00 0000111|0001000 0x0388
BX = 001 Event : 90
0x00 0000111|0010111 0x0397
0x01 0000111|0000000 0x0380
0x02 0000111|0000001 0x0381
BX = 010 Event : 91
0x00 0001011|0000001 0x0581
0x01 0001101|0000001 0x0681
0x02 0001111|0000001 0x0781
BX = 011 Event : 92
0x00 0000011|0100111 0x01A7
0x01 0000011|0101000 0x01A8
0x02 0000101|0101000 0x02A8
0x03 0001010|0101001 0x0529
0x04 0001010|0101010 0x052A
BX = 100 Event : 93
BX = 101 Event : 94
0x00 0000101|0011011 0x029B
0x01 0000101|0000000 0x0280
0x02 1001011|0011000 0x2598
BX = 110 Event : 95
BX = 111 Event : 96
BX = 000 Event : 97
0x00 0000100|0000000 0x0200
0x01 0000101|0000000 0x0280
BX = 001 Event : 98
0x00 0010011|0000011 0x0983
0x01 1000110|0100010 0x2322
BX = 010 Event : 99
BX = 011 Event : 100
0x00 0000011|0100001 0x01A1
0x01 0000101|0100001 0x02A1
0x02 0000110|0100001 0x0321
0x03 0000111|0100001 0x03A1
