BX = 000 Event : 1
0x00 0011001|0000110 0x0C86
0x01 0011100|0001001 0x0E09
0x02 0011100|0001101 0x0E0D
0x03 0011100|0001111 0x0E0F
0x04 0101111|1000001 0x17C1
BX = 100 Event : 61
0x00 0010111|0001001 0x0B89
0x01 0011000|0001001 0x0C09
BX = 101 Event : 62
0x00 0010011|0100101 0x09A5
BX = 110 Event : 63
0x00 0010110|0001001 0x0B09
0x01 0010110|0001010 0x0B0A
BX = 111 Event : 64
0x00 0000111|0011110 0x039E
0x01 0000111|0011111 0x039F
BX = 000 Event : 65
BX = 001 Event : 66
0x00 0000000|0001011 0x000B
0x01 0000000|0001111 0x000F
BX = 010 Event : 67
0x00 0100001|1011101 0x10DD
0x01 0100001|1011110 0x10DE
BX = 011 Event : 68
BX = 100 Event : 69
0x00 0001101|0100101 0x06A5
0x01 0111010|1000111 0x1D47
BX = 101 Event : 70
BX = 110 Event : 71
BX = 111 Event : 72
0x00 0101100|0111100 0x163C
0x01 0101100|1000010 0x1642
0x02 0101101|0111100 0x16BC
0x03 0101101|1000010 0x16C2
BX = 000 Event : 73
0x00 0101010|0111110 0x153E
0x01 0101011|0111110 0x15BE
0x02 0101100|0111110 0x163E
BX = 001 Event : 74
0x00 0011101|0001100 0x0E8C
BX = 010 Event : 75
BX = 011 Event : 76
0x00 0000001|0001111 0x008F
0x01 0001001|0010100 0x0494
0x02 0001001|0011011 0x049B
0x03 0001001|0011110 0x049E
0x04 0001010|0011011 0x051B
0x05 0001010|0011110 0x051E
0x06 0001011|0011011 0x059B
0x07 0001011|0011110 0x059E
0x08 0011101|0101110 0x0EAE
0x09 0011101|0110000 0x0EB0
BX = 100 Event : 77
0x00 0000110|0010100 0x0314
0x01 0000110|0010111 0x0317
0x02 0001110|0000011 0x0703
0x03 0001110|0000101 0x0705
0x04 0010001|0000101 0x0885
0x05 0010001|0001001 0x0889
BX = 101 Event : 78
BX = 110 Event : 79
BX = 111 Event : 80
BX = 000 Event : 81
BX = 001 Event : 82
0x00 0001000|0001110 0x040E
BX = 010 Event : 83
0x00 0010111|0100000 0x0BA0
BX = 011 Event : 84
0x00 0000000|0100001 0x0021
0x01 0000111|0111001 0x03B9
0x02 0001010|0111001 0x0539
0x03 0011110|0000101 0x0F05
0x04 0011110|0000110 0x0F06
0x05 0011111|0000101 0x0F85
0x06 0011111|0001100 0x0F8C
BX = 100 Event : 85
0x00 0100010|0110111 0x1137
0x01 0101110|1000010 0x1742
0x02 0110110|0000000 0x1B00
BX = 101 Event : 86
0x00 0011111|0110101 0x0FB5
BX = 110 Event : 87
0x00 0101110|0000001 0x1701
BX = 111 Event : 88
BX = 000 Event : 89
0x00 0000000|0010001 0x0011
0x01 0011011|0010001 0x0D91
BX = 001 Event : 90
0x00 0001101|0000100 0x0684
BX = 010 Event : 91
0x00 0101011|0100101 0x15A5
0x01 0101100|0100101 0x1625
BX = 011 Event : 92
0x00 0100010|0110111 0x1137
BX = 100 Event : 93
0x00 1000001|0111011 0x20BB
0x01 1011001|1001100 0x2CCC
BX = 101 Event : 94
0x00 0011001|0111000 0x0CB8
0x01 0011011|0000110 0x0D86
0x02 0011011|0000111 0x0D87
0x03 0011011|0111000 0x0DB8
BX = 110 Event : 95
0x00 0000110|0011100 0x031C
0x01 0100010|0110000 0x1130
0x02 0100010|0110010 0x1132
BX = 111 Event : 96
0x00 0001100|0000110 0x0606
0x01 0001101|0000110 0x0686
BX = 000 Event : 97
BX = 001 Event : 98
0x00 0001001|0111000 0x04B8
0x01 0001011|0111000 0x05B8
0x02 0011101|0001101 0x0E8D
0x03 0011110|0011101 0x0F1D
0x04 0101011|1010111 0x15D7
0x05 0101100|1011111 0x165F
0x06 0101101|1011111 0x16DF
BX = 010 Event : 99
0x00 0011101|0000101 0x0E85
0x01 0011111|0000101 0x0F85
0x02 0011111|0000110 0x0F86
BX = 011 Event : 100
0x00 0101100|0101110 0x162E
