BX = 000 Event : 1
0x01 0000111|0000111 0x0387
0x02 0000111|0001000 0x0388
0x03 0000111|0001001 0x0389
0x04 0000111|0001011 0x038B
0x05 0111001|0111010 0x1CBA
0x06 0111001|0111101 0x1CBD
BX = 010 Event : 99
0x00 0010101|0010000 0x0A90
0x01 0010101|0010001 0x0A91
0x02 0010110|0001110 0x0B0E
0x03 0010110|0010000 0x0B10
0x04 0010110|0010001 0x0B11
0x05 0010111|0001110 0x0B8E
0x06 0010111|0010000 0x0B90
0x07 0010111|0010001 0x0B91
BX = 011 Event : 100
