BX = 000 Event : 1
0x00 0000100|0010100 0x0214
0x01 0100110|0101101 0x132D
BX = 010 Event : 75
0x00 0101111|0101001 0x17A9
0x01 0110010|0110111 0x1937
0x02 0110010|0111000 0x1938
0x03 0110100|0110111 0x1A37
0x04 0110101|0110111 0x1AB7
0x05 0110101|0111000 0x1AB8
BX = 011 Event : 76
0x00 0001001|0010111 0x0497
0x01 0001010|0010111 0x0517
0x02 0001100|0010111 0x0617
0x03 0001100|0011111 0x061F
BX = 100 Event : 77
0x00 0001110|0000000 0x0700
0x01 0010001|0000110 0x0886
0x02 0010001|0001011 0x088B
0x03 0010001|0001110 0x088E
0x04 0011111|0100010 0x0FA2
0x05 0011111|0100011 0x0FA3
BX = 101 Event : 78
0x00 0010100|0000011 0x0A03
0x01 0010101|0000011 0x0A83
BX = 110 Event : 79
BX = 111 Event : 80
0x00 0001001|0100010 0x04A2
0x01 0001001|0100100 0x04A4
BX = 000 Event : 81
BX = 001 Event : 82
BX = 010 Event : 83
0x00 0001011|0000000 0x0580
0x01 0001011|0000100 0x0584
BX = 011 Event : 84
0x00 0011111|0000100 0x0F84
BX = 100 Event : 85
0x00 0011000|0000110 0x0C06
BX = 101 Event : 86
BX = 110 Event : 87
0x00 0001110|0001011 0x070B
0x01 0001110|0001110 0x070E
0x02 0001111|0001011 0x078B
0x03 0001111|0001110 0x078E
0x04 0010001|0001110 0x088E
0x05 0010001|0001111 0x088F
0x06 0010010|0010000 0x0910
0x07 0010011|0010000 0x0990
BX = 111 Event : 88
0x00 0100100|0111000 0x1238
BX = 000 Event : 89
0x00 0011011|0001010 0x0D8A
BX = 001 Event : 90
BX = 010 Event : 91
BX = 011 Event : 92
0x00 0100100|0111100 0x123C
BX = 100 Event : 93
0x00 1001001|1000010 0x24C2
0x01 1010001|1001011 0x28CB
0x02 1010011|1001011 0x29CB
0x03 1010101|1001010 0x2ACA
0x04 1010101|1001011 0x2ACB
BX = 101 Event : 94
BX = 110 Event : 95
BX = 111 Event : 96
0x00 0010101|0110100 0x0AB4
0x01 0010110|0101101 0x0B2D
0x02 0010110|0101110 0x0B2E
0x03 0010110|0110100 0x0B34
BX = 000 Event : 97
0x00 0010000|0001000 0x0808
0x01 0010011|0001000 0x0988
BX = 001 Event : 98
0x00 0001001|0110111 0x04B7
0x01 0001011|0110111 0x05B7
0x02 0011101|0010010 0x0E92
0x03 0011101|0010011 0x0E93
0x04 0011110|0010010 0x0F12
