BX = 000 Event : 1
BX = 001 Event : 2
0x04 0000110|1011000 0x0358
0x05 0001000|1001101 0x044D
0x06 0001000|1001110 0x044E
0x07 0001000|1010110 0x0456
0x08 0001000|1011000 0x0458
0x09 0110000|0101100 0x182C
0x0a 0110001|0101100 0x18AC
BX = 010 Event : 67
0x00 0000001|1001100 0x00CC
0x01 0000001|1010000 0x00D0
0x02 0000001|1010111 0x00D7
0x03 0000001|1011000 0x00D8
0x04 0100000|0010011 0x1013
0x05 0100111|0100100 0x13A4
0x06 0101101|0111011 0x16BB
0x07 0101101|0111100 0x16BC
0x08 0110110|1101001 0x1B69
BX = 011 Event : 68
0x00 0011010|0110101 0x0D35
0x01 0011100|0110101 0x0E35
0x02 0100010|1000001 0x1141
BX = 100 Event : 69
0x00 0000000|1010000 0x0050
0x01 0000011|1010000 0x01D0
0x02 0000011|1010011 0x01D3
0x03 0100000|0001110 0x100E
0x04 0100000|0001111 0x100F
0x05 0101100|1000111 0x1647
0x06 0101111|1010000 0x17D0
0x07 0101111|1010011 0x17D3
0x08 0110100|1010011 0x1A53
0x09 0110100|1010111 0x1A57
0x0a 0110100|1011000 0x1A58
BX = 101 Event : 70
0x00 0000000|0101100 0x002C
0x01 0000000|0110010 0x0032
0x02 0000100|0111011 0x023B
0x03 0010101|0100101 0x0AA5
0x04 0011010|0101011 0x0D2B
0x05 0011010|0101100 0x0D2C
0x06 0100100|0100101 0x1225
BX = 110 Event : 71
0x00 0000100|0111111 0x023F
0x01 0000101|0111111 0x02BF
0x02 0000110|0000101 0x0305
0x03 0100011|0101111 0x11AF
BX = 111 Event : 72
0x00 0000011|1000111 0x01C7
0x01 0000100|1000111 0x0247
0x02 0000100|1001111 0x024F
0x03 0000100|1010010 0x0252
0x04 0000100|1011000 0x0258
0x05 0101010|1010010 0x1552
0x06 0101010|1011000 0x1558
BX = 000 Event : 73
0x00 0000111|0011010 0x039A
0x01 0011101|0011010 0x0E9A
0x02 0101000|0110000 0x1430
0x03 0101001|0110000 0x14B0
0x04 0101110|1000011 0x1743
BX = 001 Event : 74
0x00 0000001|0100101 0x00A5
0x01 0010011|0011111 0x099F
0x02 0010111|0100101 0x0BA5
BX = 010 Event : 75
0x00 0010000|0010101 0x0815
0x01 0011100|0100111 0x0E27
BX = 011 Event : 76
0x00 0010100|0000101 0x0A05
0x01 0100100|0100011 0x1223
0x02 0110001|0000101 0x1885
0x03 0110010|0000101 0x1905
BX = 100 Event : 77
0x00 0000000|1000010 0x0042
0x01 0000000|1000100 0x0044
0x02 0000111|0011100 0x039C
0x03 0010001|0101101 0x08AD
0x04 0010100|0101101 0x0A2D
0x05 0011100|0011100 0x0E1C
0x06 0100010|0101101 0x112D
0x07 0101000|1000010 0x1442
BX = 101 Event : 78
0x00 0000001|0001010 0x008A
0x01 0100000|0110101 0x1035
0x02 0100010|0001010 0x110A
BX = 110 Event : 79
0x00 0010001|0001101 0x088D
BX = 111 Event : 80
0x00 0000011|1010011 0x01D3
0x01 0110100|0110010 0x1A32
BX = 000 Event : 81
0x00 0000001|0110011 0x00B3
0x01 0000011|0110011 0x01B3
0x02 0000100|0110011 0x0233
0x03 0011101|0011110 0x0E9E
BX = 001 Event : 82
BX = 010 Event : 83
0x00 0011010|0001101 0x0D0D
BX = 011 Event : 84
0x00 0011001|0110100 0x0CB4
0x01 0100000|1001101 0x104D
0x02 0100001|1000111 0x10C7
0x03 0100010|1001101 0x114D
0x04 0101011|0110100 0x15B4
BX = 100 Event : 85
0x00 0000000|1010111 0x0057
0x01 0000001|1010111 0x00D7
0x02 0101100|0111100 0x163C
0x03 0101100|0111110 0x163E
0x04 1011001|0111100 0x2CBC
BX = 101 Event : 86
0x00 0100011|0100001 0x11A1
BX = 110 Event : 87
0x00 0000001|1000001 0x00C1
BX = 111 Event : 88
0x00 0000010|0110010 0x0132
0x01 0000010|0110011 0x0133
0x02 0000010|0111101 0x013D
0x03 0011110|0101100 0x0F2C
0x04 0011110|0110010 0x0F32
0x05 0011110|0110011 0x0F33
BX = 000 Event : 89
0x00 0000000|0111111 0x003F
0x01 0100001|0111001 0x10B9
BX = 001 Event : 90
0x00 0000100|1001110 0x024E
0x01 0000100|1001111 0x024F
0x02 0000100|1010001 0x0251
0x03 0010000|0010001 0x0811
0x04 0010000|0010010 0x0812
0x05 0100001|1000111 0x10C7
BX = 010 Event : 91
0x00 0000010|1000110 0x0146
0x01 0010110|0011011 0x0B1B
0x02 0010111|0011011 0x0B9B
0x03 0101001|0100101 0x14A5
0x04 0101001|0101010 0x14AA
0x05 0101101|0110000 0x16B0
BX = 011 Event : 92
0x00 0000010|0111011 0x013B
0x01 0000010|0111100 0x013C
0x02 0000010|1000110 0x0146
0x03 0000011|0111011 0x01BB
BX = 100 Event : 93
0x00 0110010|0110111 0x1937
0x01 1001100|0111001 0x2639
BX = 101 Event : 94
0x00 0000011|0001011 0x018B
0x01 0000011|0001100 0x018C
0x02 0010010|0001011 0x090B
0x03 0010010|0001100 0x090C
BX = 110 Event : 95
0x00 0011001|0000001 0x0C81
0x01 0011001|0000011 0x0C83
0x02 0101010|0101001 0x1529
0x03 0110010|0110011 0x1933
0x04 0110100|0000001 0x1A01
0x05 0110100|0110011 0x1A33
0x06 0110100|0110100 0x1A34
0x07 0110110|0000001 0x1B01
0x08 0110111|0000001 0x1B81
BX = 111 Event : 96
0x00 0001100|0011101 0x061D
0x01 0001101|0011101 0x069D
BX = 000 Event : 97
0x00 0011000|0011101 0x0C1D
0x01 0101110|0001100 0x170C
BX = 001 Event : 98
0x00 0101111|0110000 0x17B0
BX = 010 Event : 99
0x00 0000110|1000100 0x0344
BX = 011 Event : 100
0x00 0000000|0101000 0x0028
0x01 0000001|0101000 0x00A8
