BX = 000 Event : 1
0x06 0100101|0110001 0x12B1
0x07 0101011|0110001 0x15B1
0x08 1000000|1001000 0x2048
0x09 1001011|1011001 0x25D9
BX = 000 Event : 73
0x00 0001001|0000101 0x0485
BX = 001 Event : 74
0x00 0000110|0000101 0x0305
0x01 0000110|0000110 0x0306
0x02 0000110|0001001 0x0309
BX = 010 Event : 75
0x00 0000010|0000100 0x0104
0x01 0010011|0010000 0x0990
0x02 0010011|0010001 0x0991
0x03 0101000|0100101 0x1425
BX = 011 Event : 76
0x00 0010111|0100000 0x0BA0
BX = 100 Event : 77
0x00 0010010|0010011 0x0913
BX = 101 Event : 78
BX = 110 Event : 79
0x00 0100110|0101010 0x132A
BX = 111 Event : 80
BX = 000 Event : 81
BX = 001 Event : 82
0x00 0000101|0000111 0x0287
0x01 0000110|0000111 0x0307
0x02 0010100|0011110 0x0A1E
0x03 0011100|0100110 0x0E26
0x04 0011101|0100110 0x0EA6
BX = 010 Event : 83
BX = 011 Event : 84
0x00 0111001|1010110 0x1CD6
BX = 100 Event : 85
0x00 0010110|0001111 0x0B0F
0x01 0010110|0010011 0x0B13
0x02 0010110|0011001 0x0B19
0x03 0010110|0011010 0x0B1A
0x04 0010111|0001111 0x0B8F
0x05 0010111|0010011 0x0B93
0x06 0010111|0011001 0x0B99
0x07 0010111|0011010 0x0B9A
0x08 0011010|0010011 0x0D13
0x09 0011010|0011001 0x0D19
0x0a 0011010|0011010 0x0D1A
0x0b 0100110|0101110 0x132E
0x0c 1000001|1001111 0x20CF
BX = 101 Event : 86
BX = 110 Event : 87
0x00 0000011|0000101 0x0185
0x01 0000100|0000101 0x0205
0x02 0011011|0100110 0x0DA6
0x03 0110000|0110111 0x1837
BX = 111 Event : 88
0x00 0011110|0100110 0x0F26
BX = 000 Event : 89
0x00 0000010|0000111 0x0107
0x01 0011001|0100101 0x0CA5
BX = 001 Event : 90
BX = 010 Event : 91
BX = 011 Event : 92
0x00 0101010|0101011 0x152B
BX = 100 Event : 93
0x00 0000110|0000010 0x0302
BX = 101 Event : 94
BX = 110 Event : 95
0x00 0000101|0000010 0x0282
0x01 0000101|0000011 0x0283
BX = 111 Event : 96
BX = 000 Event : 97
BX = 001 Event : 98
0x00 0000110|0010001 0x0311
0x01 0000110|0011011 0x031B
0x02 0000111|0010001 0x0391
0x03 0010111|0011011 0x0B9B
0x04 0100100|0101101 0x122D
0x05 0100111|0110111 0x13B7
0x06 0101000|0110111 0x1437
0x07 0110110|1000001 0x1B41
0x08 0110110|1000010 0x1B42
0x09 0110111|1000001 0x1BC1
0x0a 0110111|1000010 0x1BC2
0x0b 0111001|1000001 0x1CC1
0x0c 0111001|1000010 0x1CC2
BX = 010 Event : 99
0x00 0111101|0110011 0x1EB3
BX = 011 Event : 100
0x00 0000011|0000100 0x0184
0x01 0000011|0000101 0x0185
0x02 0000111|0000100 0x0384
