BX = 000 Event : 1
BX = 001 Event : 2
0x0d 1000000|1010011 0x2053
0x0e 1000010|1010000 0x2150
0x0f 1000010|1010001 0x2151
0x10 1000010|1010010 0x2152
BX = 010 Event : 67
0x00 0011111|0011011 0x0F9B
BX = 011 Event : 68
BX = 100 Event : 69
0x00 0001011|0011001 0x0599
0x01 0001101|0011001 0x0699
0x02 0110101|1010111 0x1AD7
0x03 0110110|1010111 0x1B57
BX = 101 Event : 70
0x00 0101000|0111100 0x143C
BX = 110 Event : 71
0x00 0101001|0110001 0x14B1
0x01 0101001|0110010 0x14B2
BX = 111 Event : 72
0x00 0011101|0101111 0x0EAF
0x01 0111111|1100001 0x1FE1
BX = 000 Event : 73
0x00 0010110|0010010 0x0B12
0x01 1000100|0111101 0x223D
0x02 1000111|0111111 0x23BF
0x03 1000111|1000000 0x23C0
0x04 1000111|1000011 0x23C3
0x05 1000111|1000101 0x23C5
BX = 001 Event : 74
BX = 010 Event : 75
0x00 0110111|0111000 0x1BB8
BX = 011 Event : 76
0x00 0010100|0100001 0x0A21
0x01 0011000|0101000 0x0C28
0x02 0011000|0101001 0x0C29
0x03 0111000|1000100 0x1C44
0x04 0111000|1001010 0x1C4A
0x05 1000110|1010011 0x2353
BX = 100 Event : 77
0x00 0001111|0010101 0x0795
0x01 0010100|0010111 0x0A17
0x02 0011101|0011100 0x0E9C
0x03 0101101|0110110 0x16B6
0x04 0101101|0110111 0x16B7
0x05 0111000|1000011 0x1C43
0x06 0111010|1000000 0x1D40
0x07 0111010|1000100 0x1D44
BX = 101 Event : 78
0x00 0011011|0100111 0x0DA7
0x01 0100000|0101111 0x102F
0x02 0100001|0101111 0x10AF
0x03 0100111|0101111 0x13AF
BX = 110 Event : 79
BX = 111 Event : 80
0x00 0011011|0101100 0x0DAC
0x01 0101011|1001000 0x15C8
BX = 000 Event : 81
0x00 0110011|0101100 0x19AC
BX = 001 Event : 82
0x00 0001000|0011111 0x041F
0x01 0001000|0100000 0x0420
0x02 0011101|0111000 0x0EB8
0x03 0011111|1000001 0x0FC1
BX = 010 Event : 83
0x00 0000110|0011001 0x0319
0x01 0000110|0011011 0x031B
0x02 0000111|0010011 0x0393
0x03 0000111|0011001 0x0399
0x04 0000111|0011011 0x039B
0x05 0010111|0011001 0x0B99
0x06 0010111|0011011 0x0B9B
0x07 0101101|0110101 0x16B5
BX = 011 Event : 84
0x00 0010001|0011001 0x0899
0x01 0010001|0011010 0x089A
0x02 0010100|0010000 0x0A10
0x03 0010100|0011110 0x0A1E
0x04 0010100|0011010 0x0A1A
0x05 0111100|1001100 0x1E4C
BX = 100 Event : 85
0x00 0000111|0100101 0x03A5
0x01 0010110|0100110 0x0B26
0x02 0011010|0101000 0x0D28
0x03 0011010|0110001 0x0D31
0x04 0011011|0101000 0x0DA8
0x05 0011011|0110001 0x0DB1
0x06 0100010|0110101 0x1135
BX = 101 Event : 86
0x00 0000010|0010000 0x0110
0x01 0001100|0010100 0x0614
0x02 0111000|1001010 0x1C4A
0x03 1000000|1001010 0x204A
BX = 110 Event : 87
0x00 0001000|0011101 0x041D
0x01 0001000|0011110 0x041E
0x02 0001000|0011111 0x041F
0x03 0001011|0001101 0x058D
0x04 0001011|0011010 0x059A
0x05 0010001|0011101 0x089D
BX = 111 Event : 88
0x00 0001110|0011010 0x071A
0x01 0010011|0100101 0x09A5
0x02 0101110|1000011 0x1743
0x03 0110001|0111110 0x18BE
BX = 000 Event : 89
0x00 0011101|0011101 0x0E9D
BX = 001 Event : 90
0x00 0011101|0100110 0x0EA6
0x01 0101011|0101011 0x15AB
0x02 0110111|0110001 0x1BB1
BX = 010 Event : 91
0x00 0001100|0000110 0x0606
0x01 0001100|0000111 0x0607
0x02 0001100|0010000 0x0610
0x03 0001100|0010001 0x0611
0x04 0010010|0010011 0x0913
0x05 0100011|0100000 0x11A0
0x06 0100011|0100101 0x11A5
0x07 0110011|0110001 0x19B1
0x08 0110011|0110010 0x19B2
0x09 0110011|0110011 0x19B3
0x0a 0111000|0110110 0x1C36
BX = 011 Event : 92
0x00 0001111|0010000 0x0790
0x01 0010101|0011011 0x0A9B
0x02 0011010|0101010 0x0D2A
0x03 0110101|1001110 0x1ACE
0x04 0111000|1001001 0x1C49
BX = 100 Event : 93
0x00 0000101|0010010 0x0292
0x01 0000101|0100001 0x02A1
0x02 0001011|0011101 0x059D
0x03 0001011|0100000 0x05A0
0x04 0110110|1001111 0x1B4F
BX = 101 Event : 94
0x00 0001010|0010010 0x0512
0x01 0100101|0100111 0x12A7
0x02 0110000|0101101 0x182D
BX = 110 Event : 95
0x00 0010001|0100000 0x08A0
0x01 0111001|1001001 0x1CC9
0x02 0111001|1001111 0x1CCF
0x03 0111011|1001001 0x1DC9
0x04 0111011|1001111 0x1DCF
0x05 1001010|1011000 0x2558
BX = 111 Event : 96
0x00 0010100|0011100 0x0A1C
0x01 0100011|0101000 0x11A8
BX = 000 Event : 97
0x00 0010110|0110001 0x0B31
0x01 0100001|0110001 0x10B1
0x02 0100111|0110111 0x13B7
0x03 0101101|0110111 0x16B7
BX = 001 Event : 98
0x00 0010100|0011010 0x0A1A
0x01 0100100|0110010 0x1232
0x02 0100100|0110011 0x1233
0x03 0101110|0111111 0x173F
BX = 010 Event : 99
0x00 0011100|0100010 0x0E22
0x01 0111010|1001100 0x1D4C
BX = 011 Event : 100
0x00 0001011|0000100 0x0584
0x01 0011000|0010000 0x0C10
0x02 0101101|0100010 0x16A2
0x03 0110001|0100101 0x18A5
