BX = 000 Event : 1
0x00 0001001|0010100 0x0494
0x01 0111010|0001001 0x1D09
0x02 1000111|0101110 0x23AE
0x03 1000111|0101111 0x23AF
0x04 1001000|0110111 0x2437
0x05 1001101|0111110 0x26BE
0x06 1001110|0111110 0x273E
BX = 010 Event : 51
0x00 0100101|0001001 0x1289
0x01 0100101|0001100 0x128C
BX = 011 Event : 52
BX = 100 Event : 53
0x00 0100100|0110011 0x1233
BX = 101 Event : 54
BX = 110 Event : 55
0x00 0101001|0001001 0x1489
BX = 111 Event : 56
BX = 000 Event : 57
0x00 0001100|0011001 0x0619
BX = 001 Event : 58
0x00 0011100|0001000 0x0E08
BX = 010 Event : 59
BX = 011 Event : 60
BX = 100 Event : 61
0x00 0001010|0010010 0x0512
0x01 0111011|0001010 0x1D8A
0x02 1000101|0111100 0x22BC
BX = 101 Event : 62
0x00 0010001|0100001 0x08A1
0x01 0100001|0001101 0x108D
0x02 0100001|0001110 0x108E
0x03 0101110|0110100 0x1734
0x04 0110001|0000001 0x1881
0x05 0110010|0000001 0x1901
BX = 110 Event : 63
BX = 111 Event : 64
0x00 0100110|0000001 0x1301
0x01 0100110|0000010 0x1302
0x02 0100110|0001010 0x130A
0x03 0100110|0001011 0x130B
BX = 000 Event : 65
BX = 001 Event : 66
BX = 010 Event : 67
0x00 1000101|1100111 0x22E7
0x01 1010001|0000010 0x2882
0x02 1010001|0000011 0x2883
0x03 1010001|0000101 0x2885
BX = 011 Event : 68
0x00 0100000|0001000 0x1008
0x01 0101011|0111110 0x15BE
BX = 100 Event : 69
0x00 0001010|0011100 0x051C
0x01 1001111|1001000 0x27C8
BX = 101 Event : 70
0x00 0001100|0100100 0x0624
BX = 110 Event : 71
BX = 111 Event : 72
0x00 0001110|0011111 0x071F
0x01 0001110|0100000 0x0720
0x02 0100111|0001100 0x138C
0x03 0101000|0001100 0x140C
0x04 0101001|0001100 0x148C
0x05 0111011|0000000 0x1D80
BX = 000 Event : 73
0x00 0001010|0101100 0x052C
0x01 0010100|0110101 0x0A35
0x02 0010101|0110101 0x0AB5
0x03 1000011|0111101 0x21BD
0x04 1000111|0111101 0x23BD
BX = 001 Event : 74
BX = 010 Event : 75
0x00 0101000|0001101 0x140D
BX = 011 Event : 76
0x00 0001010|0100101 0x0525
BX = 100 Event : 77
BX = 101 Event : 78
0x00 0001001|0010000 0x0490
0x01 0101100|0000000 0x1600
BX = 110 Event : 79
BX = 111 Event : 80
0x00 0000100|0001100 0x020C
0x01 0110001|0001100 0x188C
0x02 0110001|0001101 0x188D
BX = 000 Event : 81
0x00 0100011|0001001 0x1189
0x01 1000000|0111010 0x203A
BX = 001 Event : 82
BX = 010 Event : 83
0x00 0110011|0000111 0x1987
0x01 1000110|0100001 0x2321
BX = 011 Event : 84
0x00 0101111|1001110 0x17CE
0x01 1000000|1100010 0x2062
BX = 100 Event : 85
0x00 0111111|0001101 0x1F8D
0x01 1000000|0001101 0x200D
0x02 1000000|0001110 0x200E
0x03 1101000|0000001 0x3401
BX = 101 Event : 86
BX = 110 Event : 87
BX = 111 Event : 88
BX = 000 Event : 89
0x00 0100010|0001100 0x110C
BX = 001 Event : 90
0x00 0011111|0001101 0x0F8D
0x01 0101010|0111011 0x153B
0x02 0101011|0111011 0x15BB
0x03 0101011|0111101 0x15BD
