BX = 000 Event : 1
0x00 0000110|1000100 0x0344
0x01 0001001|1000100 0x04C4
BX = 001 Event : 90
0x00 0000000|1001010 0x004A
0x01 0001000|0010000 0x0410
0x02 0001100|0010000 0x0610
0x03 0110100|0111111 0x1A3F
0x04 0111000|0111111 0x1C3F
BX = 010 Event : 91
BX = 011 Event : 92
0x00 0000000|0111010 0x003A
0x01 0000000|0111110 0x003E
0x02 0100100|0101110 0x122E
0x03 0100101|0101110 0x12AE
BX = 100 Event : 93
0x00 0000010|1001011 0x014B
BX = 101 Event : 94
0x00 0000101|0001010 0x028A
0x01 0001001|0001010 0x048A
0x02 0001110|0001010 0x070A
0x03 0101001|0101111 0x14AF
BX = 110 Event : 95
0x00 0000010|0111001 0x0139
0x01 0000110|0111001 0x0339
0x02 0000110|0000010 0x0302
0x03 0010111|0001111 0x0B8F
BX = 111 Event : 96
0x00 0000001|0111000 0x00B8
0x01 0000001|0111011 0x00BB
0x02 0101111|0110000 0x17B0
0x03 0101111|0110001 0x17B1
0x04 0101111|0110010 0x17B2
0x05 0101111|0110100 0x17B4
BX = 000 Event : 97
BX = 001 Event : 98
BX = 010 Event : 99
0x00 0000100|1001011 0x024B
0x01 0000100|1001100 0x024C
0x02 0000101|1001011 0x02CB
0x03 0000101|1001100 0x02CC
0x04 0000110|1001011 0x034B
0x05 0000110|1001100 0x034C
0x06 0000110|1010010 0x0352
0x07 0000111|1001011 0x03CB
0x08 0000111|1001100 0x03CC
0x09 0000111|1010010 0x03D2
0x0a 0110011|0101101 0x19AD
0x0b 0110101|0101101 0x1AAD
BX = 011 Event : 100
0x00 0000101|0001011 0x028B
0x01 0001000|0001011 0x040B
